,braunlage,braunschweig,norderney,wind_onshore_mps,wind_offshore_mps,pf_onshore,pf_offshore,gen_onshore_mw,gen_offshore_mw,gen_total_mw,energy_onshore_mwh,energy_offshore_mwh,energy_total_mwh
2021-01-01 00:00:00,4.668058549137666,5.890506211580895,11.288395953082226,7.282320237933596,11.288395953082226,0.10772336114728612,0.7810591809920502,1400.4036949147196,5467.414266944351,6867.81796185907,1400.4036949147196,5467.414266944351,6867.81796185907
2021-01-01 01:00:00,4.628960690760371,5.965576403832469,12.005119505658875,7.533218866750572,12.005119505658875,0.1277887242371034,1.0,1661.2534150823444,7000.0,8661.253415082345,1661.2534150823444,7000.0,8661.253415082345
2021-01-01 02:00:00,4.612792326647383,5.963504944167856,12.781570020950245,7.7859557639218275,12.781570020950245,0.15037599437084873,1.0,1954.8879268210335,7000.0,8954.887926821033,1954.8879268210335,7000.0,8954.887926821033
2021-01-01 03:00:00,4.453793104491504,6.0363412415289295,13.139931797238571,7.876688714419668,13.139931797238571,0.1590917196812658,1.0,2068.1923558564554,7000.0,9068.192355856456,2068.1923558564554,7000.0,9068.192355856456
2021-01-01 04:00:00,4.744860541075534,5.962387996722605,14.215017126103543,8.307421887967228,14.215017126103543,0.20507999828549053,1.0,2666.039977711377,7000.0,9666.039977711378,2666.039977711377,7000.0,9666.039977711378
2021-01-01 05:00:00,4.595098247120465,5.872857785090666,14.513651939677146,8.327202657296093,14.513651939677146,0.2073815553010361,1.0,2695.9602189134694,7000.0,9695.96021891347,2695.9602189134694,7000.0,9695.96021891347
2021-01-01 06:00:00,4.546089422716994,5.924852900596818,14.63310586510659,8.3680160628068,14.63310586510659,0.21218461537163352,1.0,2758.3999998312356,7000.0,9758.399999831236,2758.3999998312356,7000.0,9758.399999831236
2021-01-01 07:00:00,4.695295230910222,5.916493719765989,14.51365193967715,8.37514696345112,14.51365193967715,0.21303134063256535,1.0,2769.4074282233496,7000.0,9769.407428223349,2769.4074282233496,7000.0,9769.407428223349
2021-01-01 08:00:00,4.5892894528548025,5.9044789252835965,14.394198014247706,8.295988797462035,14.394198014247706,0.20375751951240706,1.0,2648.847753661292,7000.0,9648.847753661292,2648.847753661292,7000.0,9648.847753661292
2021-01-01 09:00:00,4.807146732419505,5.940173990888206,14.394198014247706,8.380506245851805,14.394198014247706,0.21366918392848608,1.0,2777.699391070319,7000.0,9777.699391070319,2777.699391070319,7000.0,9777.699391070319
2021-01-01 10:00:00,4.83967554513091,6.380444827827229,12.841296983664966,8.0204724522077,12.841296983664966,0.17358261908849004,1.0,2256.5740481503703,7000.0,9256.57404815037,2256.5740481503703,7000.0,9256.57404815037
