timestamp,action,generation_mwh,demand_mwh,price_eur_per_mwh,to_grid_mwh,to_electrolyser_mwh,h2_produced_kg,tank_soc_kg,energy_flux_battery_kwh,curtailed_mwh,battery_soc_mwh,h2_offtake_kg,grid_revenue_eur,h2_revenue_eur,ancillary_revenue_eur,total_revenue_eur,opex_eur,profit_eur
2023-01-01 00:00:00,electrolyse + grid,185.31923915677248,38346.0,50.0,85.31923915677248,100.0,1818.1818181818182,1818.1818181818182,0.0,0.0,0.0,0.0,4265.961957838625,0.0,0.0,4265.961957838625,4262.342500605767,3.6194572328577124
2023-01-01 01:00:00,electrolyse + grid,217.22801066149745,37777.25,50.0,117.22801066149745,100.0,1818.1818181818182,3553.030303030303,0.0,0.0,0.0,83.33333333333333,5861.400533074872,416.66666666666663,0.0,6278.067199741539,4996.244245214441,1281.8229545270979
2023-01-01 02:00:00,electrolyse + grid,232.75078749697116,36939.75,50.0,132.75078749697116,100.0,1818.1818181818182,5287.878787878788,0.0,0.0,0.0,83.33333333333333,6637.539374848558,416.66666666666663,0.0,7054.206041515225,5353.268112430336,1700.9379290848883
2023-01-01 03:00:00,electrolyse + grid,209.7922219529925,35932.5,50.0,109.79222195299249,100.0,1818.1818181818182,7022.727272727273,0.0,0.0,0.0,83.33333333333333,5489.611097649625,416.66666666666663,0.0,5906.277764316292,4825.221104918827,1081.0566593974645
2023-01-01 04:00:00,electrolyse + grid,209.73164526290284,35486.25,50.0,109.73164526290284,100.0,1818.1818181818182,8757.575757575758,0.0,0.0,0.0,83.33333333333333,5486.582263145142,416.66666666666663,0.0,5903.248929811809,4823.827841046766,1079.4210887650434
2023-01-01 05:00:00,electrolyse + grid,202.3261448994427,35647.25,50.0,129.40947823277605,72.91666666666667,1325.757575757576,10000.0,0.0,0.0,0.0,83.33333333333333,6470.473911638803,416.66666666666663,0.0,6887.14057830547,4653.501332687182,2233.6392456182875
2023-01-01 06:00:00,electrolyse + grid,197.99491155803247,35231.75,50.0,193.4115782246991,4.583333333333357,83.33333333333394,10000.0,0.0,0.0,0.0,83.33333333333333,9670.578911234956,416.66666666666663,0.0,10087.245577901622,4553.882965834747,5533.362612066875
2023-01-01 07:00:00,electrolyse + grid,210.79173733947178,36172.25,50.0,206.20840400613844,4.583333333333357,83.33333333333394,10000.0,0.0,0.0,0.0,83.33333333333333,10310.420200306922,416.66666666666663,0.0,10727.086866973588,4848.209958807851,5878.876908165737
2023-01-01 08:00:00,electrolyse + grid,188.8478313544948,36829.25,50.0,184.26449802116144,4.583333333333357,83.33333333333394,10000.0,0.0,0.0,0.0,83.33333333333333,9213.224901058073,416.66666666666663,0.0,9629.891567724739,4343.50012115338,5286.391446571359
2023-01-01 09:00:00,electrolyse + grid,210.06481705839593,39226.5,50.0,205.48148372506256,4.583333333333357,83.33333333333394,10000.0,0.0,0.0,0.0,83.33333333333333,10274.074186253129,416.66666666666663,0.0,10690.740852919795,4831.4907923431065,5859.250060576688
