Year,Hydro,Biomass,Fossil brown coal / lignite,Fossil hard coal,Fossil oil,Fossil gas,"Other, non-renewable",Wind offshore,Wind onshore,Solar AC
,Power (GW),Power (GW),Power (GW),Power (GW),Power (GW),Power (GW),Power (GW),Power (GW),Power (GW),Power (GW)
2026,5.889,9.005,14.758,15.386,3.811,35.311,2.291,10.156,68.969,109.607
