timestamp,action,generation_mwh,demand_mwh,price_eur_per_mwh,to_grid_mwh,to_electrolyser_mwh,h2_produced_kg,tank_soc_kg,energy_flux_battery_kwh,curtailed_mwh,battery_soc_mwh,h2_offtake_kg,grid_revenue_eur,h2_revenue_eur,ancillary_revenue_eur,total_revenue_eur,opex_eur,profit_eur
2023-01-01 00:00:00,electrolyse + curtail,185.31923915677248,38346.0,-5.17,0.0,100.0,1818.1818181818182,1818.1818181818182,0.0,85.31923915677248,0.0,0.0,-0.0,0.0,0.0,0.0,4262.342500605767,-4262.342500605767
2023-01-01 01:00:00,electrolyse + curtail,217.22801066149745,37777.25,-1.07,0.0,100.0,1818.1818181818182,3553.030303030303,0.0,117.22801066149745,0.0,83.33333333333333,-0.0,416.66666666666663,0.0,416.66666666666663,4996.244245214441,-4579.5775785477745
2023-01-01 02:00:00,electrolyse + curtail,232.75078749697116,36939.75,-1.47,0.0,100.0,1818.1818181818182,5287.878787878788,0.0,132.75078749697116,0.0,83.33333333333333,-0.0,416.66666666666663,0.0,416.66666666666663,5353.268112430336,-4936.601445763669
2023-01-01 03:00:00,electrolyse + curtail,209.7922219529925,35932.5,-5.08,0.0,100.0,1818.1818181818182,7022.727272727273,0.0,109.79222195299249,0.0,83.33333333333333,-0.0,416.66666666666663,0.0,416.66666666666663,4825.221104918827,-4408.55443825216
2023-01-01 04:00:00,electrolyse + curtail,209.73164526290284,35486.25,-4.49,0.0,100.0,1818.1818181818182,8757.575757575758,0.0,109.73164526290284,0.0,83.33333333333333,-0.0,416.66666666666663,0.0,416.66666666666663,4823.827841046766,-4407.161174380099
2023-01-01 05:00:00,electrolyse + curtail,202.3261448994427,35647.25,-5.4,0.0,72.91666666666667,1325.757575757576,10000.0,0.0,129.40947823277605,0.0,83.33333333333333,-0.0,416.66666666666663,0.0,416.66666666666663,4653.501332687182,-4236.834666020515
2023-01-01 06:00:00,electrolyse + curtail,197.99491155803247,35231.75,-5.02,0.0,4.583333333333357,83.33333333333394,10000.0,0.0,193.4115782246991,0.0,83.33333333333333,-0.0,416.66666666666663,0.0,416.66666666666663,4553.882965834747,-4137.21629916808
2023-01-01 07:00:00,electrolyse + curtail,210.79173733947178,36172.25,-1.3,0.0,4.583333333333357,83.33333333333394,10000.0,0.0,206.20840400613844,0.0,83.33333333333333,-0.0,416.66666666666663,0.0,416.66666666666663,4848.209958807851,-4431.543292141184
2023-01-01 08:00:00,electrolyse + curtail,188.8478313544948,36829.25,-1.44,0.0,4.583333333333357,83.33333333333394,10000.0,0.0,184.26449802116144,0.0,83.33333333333333,-0.0,416.66666666666663,0.0,416.66666666666663,4343.50012115338,-3926.8334544867134
2023-01-01 09:00:00,electrolyse + curtail,210.06481705839593,39226.5,-1.09,0.0,4.583333333333357,83.33333333333394,10000.0,0.0,205.48148372506256,0.0,83.33333333333333,-0.0,416.66666666666663,0.0,416.66666666666663,4831.4907923431065,-4414.8241256764395
