"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|PT","Without Sequence","63.33","",""
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|PT","Without Sequence","50.09","",""
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|PT","Without Sequence","47.50","",""
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|PT","Without Sequence","43.50","",""
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|PT","Without Sequence","42.50","",""
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|PT","Without Sequence","42.09","",""
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|PT","Without Sequence","42.50","",""
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|PT","Without Sequence","42.59","",""
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|PT","Without Sequence","43.37","",""
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|PT","Without Sequence","42.29","",""
"01/01/2024 10:00:00 - 01/01/2024 11:00:00","BZN|PT","Without Sequence","35.61","",""
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|PT","Without Sequence","29.80","",""
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|PT","Without Sequence","3.20","",""
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|PT","Without Sequence","2.06","",""
"01/01/2024 14:00:00 - 01/01/2024 15:00:00","BZN|PT","Without Sequence","1.73","",""
"01/01/2024 15:00:00 - 01/01/2024 16:00:00","BZN|PT","Without Sequence","5.72","",""
"01/01/2024 16:00:00 - 01/01/2024 17:00:00","BZN|PT","Without Sequence","18.49","",""
"01/01/2024 17:00:00 - 01/01/2024 18:00:00","BZN|PT","Without Sequence","37.00","",""
"01/01/2024 18:00:00 - 01/01/2024 19:00:00","BZN|PT","Without Sequence","47.50","",""
"01/01/2024 19:00:00 - 01/01/2024 20:00:00","BZN|PT","Without Sequence","54.97","",""
"01/01/2024 20:00:00 - 01/01/2024 21:00:00","BZN|PT","Without Sequence","60.90","",""
"01/01/2024 21:00:00 - 01/01/2024 22:00:00","BZN|PT","Without Sequence","60.00","",""
"01/01/2024 22:00:00 - 01/01/2024 23:00:00","BZN|PT","Without Sequence","47.50","",""
"01/01/2024 23:00:00 - 02/01/2024 00:00:00","BZN|PT","Without Sequence","42.09","",""
"02/01/2024 00:00:00 - 02/01/2024 01:00:00","BZN|PT","Without Sequence","37.80","",""
"02/01/2024 01:00:00 - 02/01/2024 02:00:00","BZN|PT","Without Sequence","25.61","",""
"02/01/2024 02:00:00 - 02/01/2024 03:00:00","BZN|PT","Without Sequence","20.61","",""
"02/01/2024 03:00:00 - 02/01/2024 04:00:00","BZN|PT","Without Sequence","14.54","",""
"02/01/2024 04:00:00 - 02/01/2024 05:00:00","BZN|PT","Without Sequence","13.21","",""
"02/01/2024 05:00:00 - 02/01/2024 06:00:00","BZN|PT","Without Sequence","14.54","",""
"02/01/2024 06:00:00 - 02/01/2024 07:00:00","BZN|PT","Without Sequence","36.29","",""
"02/01/2024 07:00:00 - 02/01/2024 08:00:00","BZN|PT","Without Sequence","44.70","",""
"02/01/2024 08:00:00 - 02/01/2024 09:00:00","BZN|PT","Without Sequence","53.78","",""
"02/01/2024 09:00:00 - 02/01/2024 10:00:00","BZN|PT","Without Sequence","54.23","",""
"02/01/2024 10:00:00 - 02/01/2024 11:00:00","BZN|PT","Without Sequence","50.00","",""
"02/01/2024 11:00:00 - 02/01/2024 12:00:00","BZN|PT","Without Sequence","52.20","",""
"02/01/2024 12:00:00 - 02/01/2024 13:00:00","BZN|PT","Without Sequence","45.00","",""
"02/01/2024 13:00:00 - 02/01/2024 14:00:00","BZN|PT","Without Sequence","43.00","",""
"02/01/2024 14:00:00 - 02/01/2024 15:00:00","BZN|PT","Without Sequence","43.00","",""
"02/01/2024 15:00:00 - 02/01/2024 16:00:00","BZN|PT","Without Sequence","40.99","",""
"02/01/2024 16:00:00 - 02/01/2024 17:00:00","BZN|PT","Without Sequence","43.66","",""
"02/01/2024 17:00:00 - 02/01/2024 18:00:00","BZN|PT","Without Sequence","52.20","",""
"02/01/2024 18:00:00 - 02/01/2024 19:00:00","BZN|PT","Without Sequence","57.77","",""
"02/01/2024 19:00:00 - 02/01/2024 20:00:00","BZN|PT","Without Sequence","62.45","",""
"02/01/2024 20:00:00 - 02/01/2024 21:00:00","BZN|PT","Without Sequence","58.00","",""
"02/01/2024 21:00:00 - 02/01/2024 22:00:00","BZN|PT","Without Sequence","52.83","",""
"02/01/2024 22:00:00 - 02/01/2024 23:00:00","BZN|PT","Without Sequence","46.26","",""
"02/01/2024 23:00:00 - 03/01/2024 00:00:00","BZN|PT","Without Sequence","40.10","",""
"03/01/2024 00:00:00 - 03/01/2024 01:00:00","BZN|PT","Without Sequence","6.80","",""
"03/01/2024 01:00:00 - 03/01/2024 02:00:00","BZN|PT","Without Sequence","3.20","",""
"03/01/2024 02:00:00 - 03/01/2024 03:00:00","BZN|PT","Without Sequence","3.20","",""
"03/01/2024 03:00:00 - 03/01/2024 04:00:00","BZN|PT","Without Sequence","3.20","",""
"03/01/2024 04:00:00 - 03/01/2024 05:00:00","BZN|PT","Without Sequence","3.20","",""
"03/01/2024 05:00:00 - 03/01/2024 06:00:00","BZN|PT","Without Sequence","2.21","",""
"03/01/2024 06:00:00 - 03/01/2024 07:00:00","BZN|PT","Without Sequence","4.78","",""
"03/01/2024 07:00:00 - 03/01/2024 08:00:00","BZN|PT","Without Sequence","45.42","",""
"03/01/2024 08:00:00 - 03/01/2024 09:00:00","BZN|PT","Without Sequence","61.92","",""
"03/01/2024 09:00:00 - 03/01/2024 10:00:00","BZN|PT","Without Sequence","67.00","",""
"03/01/2024 10:00:00 - 03/01/2024 11:00:00","BZN|PT","Without Sequence","63.60","",""
"03/01/2024 11:00:00 - 03/01/2024 12:00:00","BZN|PT","Without Sequence","58.50","",""
"03/01/2024 12:00:00 - 03/01/2024 13:00:00","BZN|PT","Without Sequence","63.60","",""
"03/01/2024 13:00:00 - 03/01/2024 14:00:00","BZN|PT","Without Sequence","63.35","",""
"03/01/2024 14:00:00 - 03/01/2024 15:00:00","BZN|PT","Without Sequence","63.60","",""
"03/01/2024 15:00:00 - 03/01/2024 16:00:00","BZN|PT","Without Sequence","66.03","",""
"03/01/2024 16:00:00 - 03/01/2024 17:00:00","BZN|PT","Without Sequence","67.52","",""
"03/01/2024 17:00:00 - 03/01/2024 18:00:00","BZN|PT","Without Sequence","89.57","",""
"03/01/2024 18:00:00 - 03/01/2024 19:00:00","BZN|PT","Without Sequence","94.20","",""
"03/01/2024 19:00:00 - 03/01/2024 20:00:00","BZN|PT","Without Sequence","104.35","",""
"03/01/2024 20:00:00 - 03/01/2024 21:00:00","BZN|PT","Without Sequence","113.26","",""
"03/01/2024 21:00:00 - 03/01/2024 22:00:00","BZN|PT","Without Sequence","113.26","",""
"03/01/2024 22:00:00 - 03/01/2024 23:00:00","BZN|PT","Without Sequence","94.20","",""
"03/01/2024 23:00:00 - 04/01/2024 00:00:00","BZN|PT","Without Sequence","86.58","",""
"04/01/2024 00:00:00 - 04/01/2024 01:00:00","BZN|PT","Without Sequence","90.39","",""
"04/01/2024 01:00:00 - 04/01/2024 02:00:00","BZN|PT","Without Sequence","87.00","",""
"04/01/2024 02:00:00 - 04/01/2024 03:00:00","BZN|PT","Without Sequence","80.21","",""
"04/01/2024 03:00:00 - 04/01/2024 04:00:00","BZN|PT","Without Sequence","70.10","",""
"04/01/2024 04:00:00 - 04/01/2024 05:00:00","BZN|PT","Without Sequence","66.86","",""
"04/01/2024 05:00:00 - 04/01/2024 06:00:00","BZN|PT","Without Sequence","68.14","",""
"04/01/2024 06:00:00 - 04/01/2024 07:00:00","BZN|PT","Without Sequence","86.74","",""
"04/01/2024 07:00:00 - 04/01/2024 08:00:00","BZN|PT","Without Sequence","94.51","",""
"04/01/2024 08:00:00 - 04/01/2024 09:00:00","BZN|PT","Without Sequence","96.00","",""
"04/01/2024 09:00:00 - 04/01/2024 10:00:00","BZN|PT","Without Sequence","98.13","",""
"04/01/2024 10:00:00 - 04/01/2024 11:00:00","BZN|PT","Without Sequence","95.00","",""
"04/01/2024 11:00:00 - 04/01/2024 12:00:00","BZN|PT","Without Sequence","90.35","",""
"04/01/2024 12:00:00 - 04/01/2024 13:00:00","BZN|PT","Without Sequence","89.00","",""
"04/01/2024 13:00:00 - 04/01/2024 14:00:00","BZN|PT","Without Sequence","85.96","",""
"04/01/2024 14:00:00 - 04/01/2024 15:00:00","BZN|PT","Without Sequence","92.11","",""
"04/01/2024 15:00:00 - 04/01/2024 16:00:00","BZN|PT","Without Sequence","98.62","",""
"04/01/2024 16:00:00 - 04/01/2024 17:00:00","BZN|PT","Without Sequence","99.50","",""
"04/01/2024 17:00:00 - 04/01/2024 18:00:00","BZN|PT","Without Sequence","100.00","",""
"04/01/2024 18:00:00 - 04/01/2024 19:00:00","BZN|PT","Without Sequence","102.57","",""
"04/01/2024 19:00:00 - 04/01/2024 20:00:00","BZN|PT","Without Sequence","104.00","",""
"04/01/2024 20:00:00 - 04/01/2024 21:00:00","BZN|PT","Without Sequence","105.18","",""
"04/01/2024 21:00:00 - 04/01/2024 22:00:00","BZN|PT","Without Sequence","102.42","",""
"04/01/2024 22:00:00 - 04/01/2024 23:00:00","BZN|PT","Without Sequence","99.41","",""
