"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"04/01/2024 23:00:00 - 05/01/2024 00:00:00","BZN|PT","Without Sequence","90.39","",""
"05/01/2024 00:00:00 - 05/01/2024 01:00:00","BZN|PT","Without Sequence","86.08","",""
"05/01/2024 01:00:00 - 05/01/2024 02:00:00","BZN|PT","Without Sequence","80.51","",""
"05/01/2024 02:00:00 - 05/01/2024 03:00:00","BZN|PT","Without Sequence","77.01","",""
"05/01/2024 03:00:00 - 05/01/2024 04:00:00","BZN|PT","Without Sequence","70.67","",""
"05/01/2024 04:00:00 - 05/01/2024 05:00:00","BZN|PT","Without Sequence","61.10","",""
"05/01/2024 05:00:00 - 05/01/2024 06:00:00","BZN|PT","Without Sequence","68.26","",""
"05/01/2024 06:00:00 - 05/01/2024 07:00:00","BZN|PT","Without Sequence","75.00","",""
"05/01/2024 07:00:00 - 05/01/2024 08:00:00","BZN|PT","Without Sequence","86.39","",""
"05/01/2024 08:00:00 - 05/01/2024 09:00:00","BZN|PT","Without Sequence","90.88","",""
"05/01/2024 09:00:00 - 05/01/2024 10:00:00","BZN|PT","Without Sequence","90.00","",""
"05/01/2024 10:00:00 - 05/01/2024 11:00:00","BZN|PT","Without Sequence","76.47","",""
"05/01/2024 11:00:00 - 05/01/2024 12:00:00","BZN|PT","Without Sequence","57.68","",""
"05/01/2024 12:00:00 - 05/01/2024 13:00:00","BZN|PT","Without Sequence","45.87","",""
"05/01/2024 13:00:00 - 05/01/2024 14:00:00","BZN|PT","Without Sequence","44.07","",""
"05/01/2024 14:00:00 - 05/01/2024 15:00:00","BZN|PT","Without Sequence","40.00","",""
"05/01/2024 15:00:00 - 05/01/2024 16:00:00","BZN|PT","Without Sequence","37.83","",""
"05/01/2024 16:00:00 - 05/01/2024 17:00:00","BZN|PT","Without Sequence","44.37","",""
"05/01/2024 17:00:00 - 05/01/2024 18:00:00","BZN|PT","Without Sequence","67.00","",""
"05/01/2024 18:00:00 - 05/01/2024 19:00:00","BZN|PT","Without Sequence","75.47","",""
"05/01/2024 19:00:00 - 05/01/2024 20:00:00","BZN|PT","Without Sequence","78.19","",""
"05/01/2024 20:00:00 - 05/01/2024 21:00:00","BZN|PT","Without Sequence","79.94","",""
"05/01/2024 21:00:00 - 05/01/2024 22:00:00","BZN|PT","Without Sequence","78.26","",""
"05/01/2024 22:00:00 - 05/01/2024 23:00:00","BZN|PT","Without Sequence","75.00","",""
"05/01/2024 23:00:00 - 06/01/2024 00:00:00","BZN|PT","Without Sequence","68.00","",""
"06/01/2024 00:00:00 - 06/01/2024 01:00:00","BZN|PT","Without Sequence","52.50","",""
"06/01/2024 01:00:00 - 06/01/2024 02:00:00","BZN|PT","Without Sequence","45.00","",""
"06/01/2024 02:00:00 - 06/01/2024 03:00:00","BZN|PT","Without Sequence","44.20","",""
"06/01/2024 03:00:00 - 06/01/2024 04:00:00","BZN|PT","Without Sequence","43.50","",""
"06/01/2024 04:00:00 - 06/01/2024 05:00:00","BZN|PT","Without Sequence","23.99","",""
"06/01/2024 05:00:00 - 06/01/2024 06:00:00","BZN|PT","Without Sequence","23.99","",""
"06/01/2024 06:00:00 - 06/01/2024 07:00:00","BZN|PT","Without Sequence","30.51","",""
"06/01/2024 07:00:00 - 06/01/2024 08:00:00","BZN|PT","Without Sequence","44.40","",""
"06/01/2024 08:00:00 - 06/01/2024 09:00:00","BZN|PT","Without Sequence","45.80","",""
"06/01/2024 09:00:00 - 06/01/2024 10:00:00","BZN|PT","Without Sequence","45.00","",""
"06/01/2024 10:00:00 - 06/01/2024 11:00:00","BZN|PT","Without Sequence","25.00","",""
"06/01/2024 11:00:00 - 06/01/2024 12:00:00","BZN|PT","Without Sequence","4.00","",""
"06/01/2024 12:00:00 - 06/01/2024 13:00:00","BZN|PT","Without Sequence","3.20","",""
"06/01/2024 13:00:00 - 06/01/2024 14:00:00","BZN|PT","Without Sequence","3.20","",""
"06/01/2024 14:00:00 - 06/01/2024 15:00:00","BZN|PT","Without Sequence","3.20","",""
"06/01/2024 15:00:00 - 06/01/2024 16:00:00","BZN|PT","Without Sequence","3.20","",""
"06/01/2024 16:00:00 - 06/01/2024 17:00:00","BZN|PT","Without Sequence","25.00","",""
"06/01/2024 17:00:00 - 06/01/2024 18:00:00","BZN|PT","Without Sequence","65.00","",""
"06/01/2024 18:00:00 - 06/01/2024 19:00:00","BZN|PT","Without Sequence","85.96","",""
"06/01/2024 19:00:00 - 06/01/2024 20:00:00","BZN|PT","Without Sequence","92.05","",""
"06/01/2024 20:00:00 - 06/01/2024 21:00:00","BZN|PT","Without Sequence","92.14","",""
"06/01/2024 21:00:00 - 06/01/2024 22:00:00","BZN|PT","Without Sequence","88.00","",""
"06/01/2024 22:00:00 - 06/01/2024 23:00:00","BZN|PT","Without Sequence","86.57","",""
"06/01/2024 23:00:00 - 07/01/2024 00:00:00","BZN|PT","Without Sequence","79.87","",""
"07/01/2024 00:00:00 - 07/01/2024 01:00:00","BZN|PT","Without Sequence","84.08","",""
"07/01/2024 01:00:00 - 07/01/2024 02:00:00","BZN|PT","Without Sequence","79.82","",""
"07/01/2024 02:00:00 - 07/01/2024 03:00:00","BZN|PT","Without Sequence","76.76","",""
"07/01/2024 03:00:00 - 07/01/2024 04:00:00","BZN|PT","Without Sequence","73.46","",""
"07/01/2024 04:00:00 - 07/01/2024 05:00:00","BZN|PT","Without Sequence","71.86","",""
"07/01/2024 05:00:00 - 07/01/2024 06:00:00","BZN|PT","Without Sequence","72.08","",""
"07/01/2024 06:00:00 - 07/01/2024 07:00:00","BZN|PT","Without Sequence","74.90","",""
"07/01/2024 07:00:00 - 07/01/2024 08:00:00","BZN|PT","Without Sequence","77.69","",""
"07/01/2024 08:00:00 - 07/01/2024 09:00:00","BZN|PT","Without Sequence","81.79","",""
"07/01/2024 09:00:00 - 07/01/2024 10:00:00","BZN|PT","Without Sequence","84.86","",""
"07/01/2024 10:00:00 - 07/01/2024 11:00:00","BZN|PT","Without Sequence","61.00","",""
"07/01/2024 11:00:00 - 07/01/2024 12:00:00","BZN|PT","Without Sequence","55.87","",""
"07/01/2024 12:00:00 - 07/01/2024 13:00:00","BZN|PT","Without Sequence","50.60","",""
"07/01/2024 13:00:00 - 07/01/2024 14:00:00","BZN|PT","Without Sequence","51.77","",""
"07/01/2024 14:00:00 - 07/01/2024 15:00:00","BZN|PT","Without Sequence","49.98","",""
"07/01/2024 15:00:00 - 07/01/2024 16:00:00","BZN|PT","Without Sequence","45.57","",""
"07/01/2024 16:00:00 - 07/01/2024 17:00:00","BZN|PT","Without Sequence","60.00","",""
"07/01/2024 17:00:00 - 07/01/2024 18:00:00","BZN|PT","Without Sequence","92.05","",""
"07/01/2024 18:00:00 - 07/01/2024 19:00:00","BZN|PT","Without Sequence","104.85","",""
"07/01/2024 19:00:00 - 07/01/2024 20:00:00","BZN|PT","Without Sequence","103.55","",""
"07/01/2024 20:00:00 - 07/01/2024 21:00:00","BZN|PT","Without Sequence","100.50","",""
"07/01/2024 21:00:00 - 07/01/2024 22:00:00","BZN|PT","Without Sequence","95.89","",""
"07/01/2024 22:00:00 - 07/01/2024 23:00:00","BZN|PT","Without Sequence","91.17","",""
"07/01/2024 23:00:00 - 08/01/2024 00:00:00","BZN|PT","Without Sequence","83.86","",""
"08/01/2024 00:00:00 - 08/01/2024 01:00:00","BZN|PT","Without Sequence","90.35","",""
"08/01/2024 01:00:00 - 08/01/2024 02:00:00","BZN|PT","Without Sequence","89.80","",""
"08/01/2024 02:00:00 - 08/01/2024 03:00:00","BZN|PT","Without Sequence","88.20","",""
"08/01/2024 03:00:00 - 08/01/2024 04:00:00","BZN|PT","Without Sequence","78.79","",""
"08/01/2024 04:00:00 - 08/01/2024 05:00:00","BZN|PT","Without Sequence","78.43","",""
"08/01/2024 05:00:00 - 08/01/2024 06:00:00","BZN|PT","Without Sequence","82.10","",""
"08/01/2024 06:00:00 - 08/01/2024 07:00:00","BZN|PT","Without Sequence","94.30","",""
"08/01/2024 07:00:00 - 08/01/2024 08:00:00","BZN|PT","Without Sequence","111.07","",""
"08/01/2024 08:00:00 - 08/01/2024 09:00:00","BZN|PT","Without Sequence","120.40","",""
"08/01/2024 09:00:00 - 08/01/2024 10:00:00","BZN|PT","Without Sequence","116.98","",""
"08/01/2024 10:00:00 - 08/01/2024 11:00:00","BZN|PT","Without Sequence","110.57","",""
"08/01/2024 11:00:00 - 08/01/2024 12:00:00","BZN|PT","Without Sequence","103.00","",""
"08/01/2024 12:00:00 - 08/01/2024 13:00:00","BZN|PT","Without Sequence","95.46","",""
"08/01/2024 13:00:00 - 08/01/2024 14:00:00","BZN|PT","Without Sequence","93.88","",""
"08/01/2024 14:00:00 - 08/01/2024 15:00:00","BZN|PT","Without Sequence","100.00","",""
"08/01/2024 15:00:00 - 08/01/2024 16:00:00","BZN|PT","Without Sequence","107.98","",""
"08/01/2024 16:00:00 - 08/01/2024 17:00:00","BZN|PT","Without Sequence","115.27","",""
"08/01/2024 17:00:00 - 08/01/2024 18:00:00","BZN|PT","Without Sequence","125.17","",""
"08/01/2024 18:00:00 - 08/01/2024 19:00:00","BZN|PT","Without Sequence","129.99","",""
"08/01/2024 19:00:00 - 08/01/2024 20:00:00","BZN|PT","Without Sequence","130.00","",""
"08/01/2024 20:00:00 - 08/01/2024 21:00:00","BZN|PT","Without Sequence","133.28","",""
"08/01/2024 21:00:00 - 08/01/2024 22:00:00","BZN|PT","Without Sequence","129.47","",""
"08/01/2024 22:00:00 - 08/01/2024 23:00:00","BZN|PT","Without Sequence","115.42","",""
"08/01/2024 23:00:00 - 09/01/2024 00:00:00","BZN|PT","Without Sequence","107.98","",""
"09/01/2024 00:00:00 - 09/01/2024 01:00:00","BZN|PT","Without Sequence","98.92","",""
"09/01/2024 01:00:00 - 09/01/2024 02:00:00","BZN|PT","Without Sequence","100.00","",""
"09/01/2024 02:00:00 - 09/01/2024 03:00:00","BZN|PT","Without Sequence","98.43","",""
"09/01/2024 03:00:00 - 09/01/2024 04:00:00","BZN|PT","Without Sequence","98.62","",""
"09/01/2024 04:00:00 - 09/01/2024 05:00:00","BZN|PT","Without Sequence","97.15","",""
"09/01/2024 05:00:00 - 09/01/2024 06:00:00","BZN|PT","Without Sequence","97.53","",""
"09/01/2024 06:00:00 - 09/01/2024 07:00:00","BZN|PT","Without Sequence","102.79","",""
"09/01/2024 07:00:00 - 09/01/2024 08:00:00","BZN|PT","Without Sequence","108.28","",""
"09/01/2024 08:00:00 - 09/01/2024 09:00:00","BZN|PT","Without Sequence","122.55","",""
"09/01/2024 09:00:00 - 09/01/2024 10:00:00","BZN|PT","Without Sequence","120.75","",""
"09/01/2024 10:00:00 - 09/01/2024 11:00:00","BZN|PT","Without Sequence","110.32","",""
"09/01/2024 11:00:00 - 09/01/2024 12:00:00","BZN|PT","Without Sequence","107.67","",""
"09/01/2024 12:00:00 - 09/01/2024 13:00:00","BZN|PT","Without Sequence","107.01","",""
"09/01/2024 13:00:00 - 09/01/2024 14:00:00","BZN|PT","Without Sequence","106.48","",""
"09/01/2024 14:00:00 - 09/01/2024 15:00:00","BZN|PT","Without Sequence","107.07","",""
"09/01/2024 15:00:00 - 09/01/2024 16:00:00","BZN|PT","Without Sequence","114.75","",""
"09/01/2024 16:00:00 - 09/01/2024 17:00:00","BZN|PT","Without Sequence","124.29","",""
"09/01/2024 17:00:00 - 09/01/2024 18:00:00","BZN|PT","Without Sequence","137.35","",""
"09/01/2024 18:00:00 - 09/01/2024 19:00:00","BZN|PT","Without Sequence","137.00","",""
"09/01/2024 19:00:00 - 09/01/2024 20:00:00","BZN|PT","Without Sequence","138.95","",""
"09/01/2024 20:00:00 - 09/01/2024 21:00:00","BZN|PT","Without Sequence","148.01","",""
"09/01/2024 21:00:00 - 09/01/2024 22:00:00","BZN|PT","Without Sequence","130.00","",""
"09/01/2024 22:00:00 - 09/01/2024 23:00:00","BZN|PT","Without Sequence","111.86","",""
"09/01/2024 23:00:00 - 10/01/2024 00:00:00","BZN|PT","Without Sequence","106.11","",""
"10/01/2024 00:00:00 - 10/01/2024 01:00:00","BZN|PT","Without Sequence","92.33","",""
"10/01/2024 01:00:00 - 10/01/2024 02:00:00","BZN|PT","Without Sequence","90.12","",""
"10/01/2024 02:00:00 - 10/01/2024 03:00:00","BZN|PT","Without Sequence","87.01","",""
"10/01/2024 03:00:00 - 10/01/2024 04:00:00","BZN|PT","Without Sequence","85.80","",""
"10/01/2024 04:00:00 - 10/01/2024 05:00:00","BZN|PT","Without Sequence","85.00","",""
"10/01/2024 05:00:00 - 10/01/2024 06:00:00","BZN|PT","Without Sequence","86.30","",""
"10/01/2024 06:00:00 - 10/01/2024 07:00:00","BZN|PT","Without Sequence","95.00","",""
"10/01/2024 07:00:00 - 10/01/2024 08:00:00","BZN|PT","Without Sequence","103.94","",""
"10/01/2024 08:00:00 - 10/01/2024 09:00:00","BZN|PT","Without Sequence","121.40","",""
"10/01/2024 09:00:00 - 10/01/2024 10:00:00","BZN|PT","Without Sequence","121.40","",""
"10/01/2024 10:00:00 - 10/01/2024 11:00:00","BZN|PT","Without Sequence","105.38","",""
"10/01/2024 11:00:00 - 10/01/2024 12:00:00","BZN|PT","Without Sequence","102.97","",""
"10/01/2024 12:00:00 - 10/01/2024 13:00:00","BZN|PT","Without Sequence","99.99","",""
"10/01/2024 13:00:00 - 10/01/2024 14:00:00","BZN|PT","Without Sequence","98.50","",""
"10/01/2024 14:00:00 - 10/01/2024 15:00:00","BZN|PT","Without Sequence","94.76","",""
"10/01/2024 15:00:00 - 10/01/2024 16:00:00","BZN|PT","Without Sequence","94.73","",""
"10/01/2024 16:00:00 - 10/01/2024 17:00:00","BZN|PT","Without Sequence","99.37","",""
"10/01/2024 17:00:00 - 10/01/2024 18:00:00","BZN|PT","Without Sequence","102.70","",""
"10/01/2024 18:00:00 - 10/01/2024 19:00:00","BZN|PT","Without Sequence","111.29","",""
"10/01/2024 19:00:00 - 10/01/2024 20:00:00","BZN|PT","Without Sequence","121.40","",""
"10/01/2024 20:00:00 - 10/01/2024 21:00:00","BZN|PT","Without Sequence","120.00","",""
"10/01/2024 21:00:00 - 10/01/2024 22:00:00","BZN|PT","Without Sequence","107.71","",""
"10/01/2024 22:00:00 - 10/01/2024 23:00:00","BZN|PT","Without Sequence","101.32","",""
"10/01/2024 23:00:00 - 11/01/2024 00:00:00","BZN|PT","Without Sequence","92.68","",""
"11/01/2024 00:00:00 - 11/01/2024 01:00:00","BZN|PT","Without Sequence","91.75","",""
"11/01/2024 01:00:00 - 11/01/2024 02:00:00","BZN|PT","Without Sequence","86.18","",""
"11/01/2024 02:00:00 - 11/01/2024 03:00:00","BZN|PT","Without Sequence","82.10","",""
"11/01/2024 03:00:00 - 11/01/2024 04:00:00","BZN|PT","Without Sequence","80.00","",""
"11/01/2024 04:00:00 - 11/01/2024 05:00:00","BZN|PT","Without Sequence","79.60","",""
"11/01/2024 05:00:00 - 11/01/2024 06:00:00","BZN|PT","Without Sequence","81.10","",""
"11/01/2024 06:00:00 - 11/01/2024 07:00:00","BZN|PT","Without Sequence","85.91","",""
"11/01/2024 07:00:00 - 11/01/2024 08:00:00","BZN|PT","Without Sequence","102.05","",""
"11/01/2024 08:00:00 - 11/01/2024 09:00:00","BZN|PT","Without Sequence","113.84","",""
"11/01/2024 09:00:00 - 11/01/2024 10:00:00","BZN|PT","Without Sequence","110.00","",""
"11/01/2024 10:00:00 - 11/01/2024 11:00:00","BZN|PT","Without Sequence","97.63","",""
"11/01/2024 11:00:00 - 11/01/2024 12:00:00","BZN|PT","Without Sequence","86.18","",""
"11/01/2024 12:00:00 - 11/01/2024 13:00:00","BZN|PT","Without Sequence","83.89","",""
"11/01/2024 13:00:00 - 11/01/2024 14:00:00","BZN|PT","Without Sequence","82.18","",""
"11/01/2024 14:00:00 - 11/01/2024 15:00:00","BZN|PT","Without Sequence","83.00","",""
"11/01/2024 15:00:00 - 11/01/2024 16:00:00","BZN|PT","Without Sequence","85.00","",""
"11/01/2024 16:00:00 - 11/01/2024 17:00:00","BZN|PT","Without Sequence","97.63","",""
"11/01/2024 17:00:00 - 11/01/2024 18:00:00","BZN|PT","Without Sequence","118.50","",""
"11/01/2024 18:00:00 - 11/01/2024 19:00:00","BZN|PT","Without Sequence","128.93","",""
"11/01/2024 19:00:00 - 11/01/2024 20:00:00","BZN|PT","Without Sequence","132.31","",""
"11/01/2024 20:00:00 - 11/01/2024 21:00:00","BZN|PT","Without Sequence","117.93","",""
"11/01/2024 21:00:00 - 11/01/2024 22:00:00","BZN|PT","Without Sequence","108.33","",""
"11/01/2024 22:00:00 - 11/01/2024 23:00:00","BZN|PT","Without Sequence","100.00","",""
"11/01/2024 23:00:00 - 12/01/2024 00:00:00","BZN|PT","Without Sequence","93.26","",""
"12/01/2024 00:00:00 - 12/01/2024 01:00:00","BZN|PT","Without Sequence","88.98","",""
"12/01/2024 01:00:00 - 12/01/2024 02:00:00","BZN|PT","Without Sequence","86.45","",""
"12/01/2024 02:00:00 - 12/01/2024 03:00:00","BZN|PT","Without Sequence","84.99","",""
"12/01/2024 03:00:00 - 12/01/2024 04:00:00","BZN|PT","Without Sequence","83.00","",""
"12/01/2024 04:00:00 - 12/01/2024 05:00:00","BZN|PT","Without Sequence","83.14","",""
"12/01/2024 05:00:00 - 12/01/2024 06:00:00","BZN|PT","Without Sequence","85.00","",""
"12/01/2024 06:00:00 - 12/01/2024 07:00:00","BZN|PT","Without Sequence","89.00","",""
"12/01/2024 07:00:00 - 12/01/2024 08:00:00","BZN|PT","Without Sequence","100.00","",""
"12/01/2024 08:00:00 - 12/01/2024 09:00:00","BZN|PT","Without Sequence","104.77","",""
"12/01/2024 09:00:00 - 12/01/2024 10:00:00","BZN|PT","Without Sequence","105.00","",""
"12/01/2024 10:00:00 - 12/01/2024 11:00:00","BZN|PT","Without Sequence","100.00","",""
"12/01/2024 11:00:00 - 12/01/2024 12:00:00","BZN|PT","Without Sequence","94.58","",""
"12/01/2024 12:00:00 - 12/01/2024 13:00:00","BZN|PT","Without Sequence","92.00","",""
