"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"03/01/2022 06:00:00 - 03/01/2022 07:00:00","BZN|PT","Without Sequence","153.77","",""
"03/01/2022 07:00:00 - 03/01/2022 08:00:00","BZN|PT","Without Sequence","160.72","",""
"03/01/2022 08:00:00 - 03/01/2022 09:00:00","BZN|PT","Without Sequence","189.26","",""
"03/01/2022 09:00:00 - 03/01/2022 10:00:00","BZN|PT","Without Sequence","183.54","",""
"03/01/2022 10:00:00 - 03/01/2022 11:00:00","BZN|PT","Without Sequence","160.72","",""
"03/01/2022 11:00:00 - 03/01/2022 12:00:00","BZN|PT","Without Sequence","152.20","",""
"03/01/2022 12:00:00 - 03/01/2022 13:00:00","BZN|PT","Without Sequence","148.86","",""
"03/01/2022 13:00:00 - 03/01/2022 14:00:00","BZN|PT","Without Sequence","142.04","",""
"03/01/2022 14:00:00 - 03/01/2022 15:00:00","BZN|PT","Without Sequence","127.38","",""
"03/01/2022 15:00:00 - 03/01/2022 16:00:00","BZN|PT","Without Sequence","112.87","",""
"03/01/2022 16:00:00 - 03/01/2022 17:00:00","BZN|PT","Without Sequence","126.80","",""
"03/01/2022 17:00:00 - 03/01/2022 18:00:00","BZN|PT","Without Sequence","148.49","",""
"03/01/2022 18:00:00 - 03/01/2022 19:00:00","BZN|PT","Without Sequence","175.06","",""
"03/01/2022 19:00:00 - 03/01/2022 20:00:00","BZN|PT","Without Sequence","180.00","",""
"03/01/2022 20:00:00 - 03/01/2022 21:00:00","BZN|PT","Without Sequence","153.77","",""
"03/01/2022 21:00:00 - 03/01/2022 22:00:00","BZN|PT","Without Sequence","141.94","",""
"03/01/2022 22:00:00 - 03/01/2022 23:00:00","BZN|PT","Without Sequence","114.11","",""
"03/01/2022 23:00:00 - 04/01/2022 00:00:00","BZN|PT","Without Sequence","100.36","",""
"04/01/2022 00:00:00 - 04/01/2022 01:00:00","BZN|PT","Without Sequence","125.47","",""
"04/01/2022 01:00:00 - 04/01/2022 02:00:00","BZN|PT","Without Sequence","115.55","",""
"04/01/2022 02:00:00 - 04/01/2022 03:00:00","BZN|PT","Without Sequence","113.29","",""
"04/01/2022 03:00:00 - 04/01/2022 04:00:00","BZN|PT","Without Sequence","105.81","",""
"04/01/2022 04:00:00 - 04/01/2022 05:00:00","BZN|PT","Without Sequence","105.00","",""
"04/01/2022 05:00:00 - 04/01/2022 06:00:00","BZN|PT","Without Sequence","115.11","",""
"04/01/2022 06:00:00 - 04/01/2022 07:00:00","BZN|PT","Without Sequence","153.77","",""
"04/01/2022 07:00:00 - 04/01/2022 08:00:00","BZN|PT","Without Sequence","161.03","",""
"04/01/2022 08:00:00 - 04/01/2022 09:00:00","BZN|PT","Without Sequence","178.91","",""
"04/01/2022 09:00:00 - 04/01/2022 10:00:00","BZN|PT","Without Sequence","190.00","",""
"04/01/2022 10:00:00 - 04/01/2022 11:00:00","BZN|PT","Without Sequence","189.88","",""
"04/01/2022 11:00:00 - 04/01/2022 12:00:00","BZN|PT","Without Sequence","182.42","",""
"04/01/2022 12:00:00 - 04/01/2022 13:00:00","BZN|PT","Without Sequence","182.46","",""
"04/01/2022 13:00:00 - 04/01/2022 14:00:00","BZN|PT","Without Sequence","179.59","",""
"04/01/2022 14:00:00 - 04/01/2022 15:00:00","BZN|PT","Without Sequence","163.20","",""
"04/01/2022 15:00:00 - 04/01/2022 16:00:00","BZN|PT","Without Sequence","157.30","",""
"04/01/2022 16:00:00 - 04/01/2022 17:00:00","BZN|PT","Without Sequence","157.30","",""
"04/01/2022 17:00:00 - 04/01/2022 18:00:00","BZN|PT","Without Sequence","163.78","",""
"04/01/2022 18:00:00 - 04/01/2022 19:00:00","BZN|PT","Without Sequence","184.94","",""
"04/01/2022 19:00:00 - 04/01/2022 20:00:00","BZN|PT","Without Sequence","178.99","",""
"04/01/2022 20:00:00 - 04/01/2022 21:00:00","BZN|PT","Without Sequence","156.12","",""
"04/01/2022 21:00:00 - 04/01/2022 22:00:00","BZN|PT","Without Sequence","148.65","",""
"04/01/2022 22:00:00 - 04/01/2022 23:00:00","BZN|PT","Without Sequence","137.92","",""
"04/01/2022 23:00:00 - 05/01/2022 00:00:00","BZN|PT","Without Sequence","112.87","",""
"05/01/2022 00:00:00 - 05/01/2022 01:00:00","BZN|PT","Without Sequence","132.80","",""
"05/01/2022 01:00:00 - 05/01/2022 02:00:00","BZN|PT","Without Sequence","106.70","",""
"05/01/2022 02:00:00 - 05/01/2022 03:00:00","BZN|PT","Without Sequence","84.50","",""
"05/01/2022 03:00:00 - 05/01/2022 04:00:00","BZN|PT","Without Sequence","80.00","",""
