"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"03/01/2022 22:00 - 03/01/2022 23:00","Portugal (PT)","6787.90","6391.00"
"03/01/2022 23:00 - 04/01/2022 00:00","Portugal (PT)","6212.20","6133.00"
"04/01/2022 00:00 - 04/01/2022 01:00","Portugal (PT)","5643.90","5140.00"
"04/01/2022 01:00 - 04/01/2022 02:00","Portugal (PT)","5192.60","5305.00"
"04/01/2022 02:00 - 04/01/2022 03:00","Portugal (PT)","4852.30","4962.00"
"04/01/2022 03:00 - 04/01/2022 04:00","Portugal (PT)","4650.80","4733.00"
"04/01/2022 04:00 - 04/01/2022 05:00","Portugal (PT)","4524.00","4629.00"
"04/01/2022 05:00 - 04/01/2022 06:00","Portugal (PT)","4502.50","4597.00"
"04/01/2022 06:00 - 04/01/2022 07:00","Portugal (PT)","4567.40","4680.00"
"04/01/2022 07:00 - 04/01/2022 08:00","Portugal (PT)","4930.40","5041.00"
"04/01/2022 08:00 - 04/01/2022 09:00","Portugal (PT)","5473.70","5671.00"
"04/01/2022 09:00 - 04/01/2022 10:00","Portugal (PT)","6220.20","6367.00"
"04/01/2022 10:00 - 04/01/2022 11:00","Portugal (PT)","6765.20","6790.00"
"04/01/2022 11:00 - 04/01/2022 12:00","Portugal (PT)","7029.10","6932.00"
"04/01/2022 12:00 - 04/01/2022 13:00","Portugal (PT)","7195.90","7014.00"
"04/01/2022 13:00 - 04/01/2022 14:00","Portugal (PT)","7116.80","6917.00"
"04/01/2022 14:00 - 04/01/2022 15:00","Portugal (PT)","6965.10","6832.00"
"04/01/2022 15:00 - 04/01/2022 16:00","Portugal (PT)","7009.60","6962.00"
"04/01/2022 16:00 - 04/01/2022 17:00","Portugal (PT)","6929.20","6956.00"
"04/01/2022 17:00 - 04/01/2022 18:00","Portugal (PT)","6973.80","6952.00"
"04/01/2022 18:00 - 04/01/2022 19:00","Portugal (PT)","7287.40","7158.00"
"04/01/2022 19:00 - 04/01/2022 20:00","Portugal (PT)","7646.60","7549.00"
"04/01/2022 20:00 - 04/01/2022 21:00","Portugal (PT)","7727.30","7673.00"
"04/01/2022 21:00 - 04/01/2022 22:00","Portugal (PT)","7493.20","7501.00"
"04/01/2022 22:00 - 04/01/2022 23:00","Portugal (PT)","7054.10","7124.00"
"04/01/2022 23:00 - 05/01/2022 00:00","Portugal (PT)","6488.80","6783.00"
"05/01/2022 00:00 - 05/01/2022 01:00","Portugal (PT)","5888.00","5995.00"
"05/01/2022 01:00 - 05/01/2022 02:00","Portugal (PT)","5385.40","5391.00"
"05/01/2022 02:00 - 05/01/2022 03:00","Portugal (PT)","5015.70","5043.00"
"05/01/2022 03:00 - 05/01/2022 04:00","Portugal (PT)","4781.60","4810.00"
"05/01/2022 04:00 - 05/01/2022 05:00","Portugal (PT)","4652.70","4705.00"
"05/01/2022 05:00 - 05/01/2022 06:00","Portugal (PT)","4607.90","4672.00"
"05/01/2022 06:00 - 05/01/2022 07:00","Portugal (PT)","4652.60","4757.00"
"05/01/2022 07:00 - 05/01/2022 08:00","Portugal (PT)","5026.60","5123.00"
"05/01/2022 08:00 - 05/01/2022 09:00","Portugal (PT)","5562.60","5763.00"
"05/01/2022 09:00 - 05/01/2022 10:00","Portugal (PT)","6406.30","6470.00"
"05/01/2022 10:00 - 05/01/2022 11:00","Portugal (PT)","6897.30","6900.00"
"05/01/2022 11:00 - 05/01/2022 12:00","Portugal (PT)","7067.40","7045.00"
"05/01/2022 12:00 - 05/01/2022 13:00","Portugal (PT)","7290.20","7129.00"
"05/01/2022 13:00 - 05/01/2022 14:00","Portugal (PT)","7326.60","7029.00"
"05/01/2022 14:00 - 05/01/2022 15:00","Portugal (PT)","7303.30","6943.00"
"05/01/2022 15:00 - 05/01/2022 16:00","Portugal (PT)","7437.30","7076.00"
"05/01/2022 16:00 - 05/01/2022 17:00","Portugal (PT)","7366.30","7069.00"
"05/01/2022 17:00 - 05/01/2022 18:00","Portugal (PT)","7387.30","7065.00"
