"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"05/01/2023 09:00 - 05/01/2023 10:00","Portugal (PT)","7149.10","6603.00"
"05/01/2023 10:00 - 05/01/2023 11:00","Portugal (PT)","7470.50","7051.00"
"05/01/2023 11:00 - 05/01/2023 12:00","Portugal (PT)","7369.00","7183.00"
"05/01/2023 12:00 - 05/01/2023 13:00","Portugal (PT)","7339.00","7237.00"
"05/01/2023 13:00 - 05/01/2023 14:00","Portugal (PT)","7090.50","7058.00"
"05/01/2023 14:00 - 05/01/2023 15:00","Portugal (PT)","6913.50","6951.00"
"05/01/2023 15:00 - 05/01/2023 16:00","Portugal (PT)","6982.50","6998.00"
"05/01/2023 16:00 - 05/01/2023 17:00","Portugal (PT)","6998.20","6842.00"
"05/01/2023 17:00 - 05/01/2023 18:00","Portugal (PT)","7110.10","6795.00"
"05/01/2023 18:00 - 05/01/2023 19:00","Portugal (PT)","7434.40","7129.00"
"05/01/2023 19:00 - 05/01/2023 20:00","Portugal (PT)","7949.20","7649.00"
"05/01/2023 20:00 - 05/01/2023 21:00","Portugal (PT)","8278.40","7818.00"
"05/01/2023 21:00 - 05/01/2023 22:00","Portugal (PT)","8148.20","7675.00"
"05/01/2023 22:00 - 05/01/2023 23:00","Portugal (PT)","7715.00","7361.00"
"05/01/2023 23:00 - 06/01/2023 00:00","Portugal (PT)","7094.60","7103.00"
"06/01/2023 00:00 - 06/01/2023 01:00","Portugal (PT)","6420.80","6232.00"
"06/01/2023 01:00 - 06/01/2023 02:00","Portugal (PT)","5748.30","5552.00"
"06/01/2023 02:00 - 06/01/2023 03:00","Portugal (PT)","5282.00","5167.00"
"06/01/2023 03:00 - 06/01/2023 04:00","Portugal (PT)","5087.80","4958.00"
"06/01/2023 04:00 - 06/01/2023 05:00","Portugal (PT)","4966.10","4877.00"
"06/01/2023 05:00 - 06/01/2023 06:00","Portugal (PT)","4916.60","4874.00"
"06/01/2023 06:00 - 06/01/2023 07:00","Portugal (PT)","5033.60","5004.00"
"06/01/2023 07:00 - 06/01/2023 08:00","Portugal (PT)","5471.40","5385.00"
"06/01/2023 08:00 - 06/01/2023 09:00","Portugal (PT)","6308.80","6120.00"
"06/01/2023 09:00 - 06/01/2023 10:00","Portugal (PT)","7229.60","6859.00"
"06/01/2023 10:00 - 06/01/2023 11:00","Portugal (PT)","7557.70","7176.00"
"06/01/2023 11:00 - 06/01/2023 12:00","Portugal (PT)","7526.60","7100.00"
"06/01/2023 12:00 - 06/01/2023 13:00","Portugal (PT)","7505.00","7069.00"
"06/01/2023 13:00 - 06/01/2023 14:00","Portugal (PT)","7332.00","7023.00"
"06/01/2023 14:00 - 06/01/2023 15:00","Portugal (PT)","7208.40","6901.00"
"06/01/2023 15:00 - 06/01/2023 16:00","Portugal (PT)","7263.20","6977.00"
"06/01/2023 16:00 - 06/01/2023 17:00","Portugal (PT)","7233.80","6984.00"
"06/01/2023 17:00 - 06/01/2023 18:00","Portugal (PT)","7318.10","7087.00"
"06/01/2023 18:00 - 06/01/2023 19:00","Portugal (PT)","7609.40","7425.00"
"06/01/2023 19:00 - 06/01/2023 20:00","Portugal (PT)","8020.60","7892.00"
"06/01/2023 20:00 - 06/01/2023 21:00","Portugal (PT)","8178.30","8174.00"
"06/01/2023 21:00 - 06/01/2023 22:00","Portugal (PT)","8021.60","8087.00"
"06/01/2023 22:00 - 06/01/2023 23:00","Portugal (PT)","7599.80","7640.00"
"06/01/2023 23:00 - 07/01/2023 00:00","Portugal (PT)","7034.00","7220.00"
"07/01/2023 00:00 - 07/01/2023 01:00","Portugal (PT)","6456.60","6089.00"
"07/01/2023 01:00 - 07/01/2023 02:00","Portugal (PT)","5814.50","5498.00"
"07/01/2023 02:00 - 07/01/2023 03:00","Portugal (PT)","5391.40","5090.00"
"07/01/2023 03:00 - 07/01/2023 04:00","Portugal (PT)","5062.90","4826.00"
"07/01/2023 04:00 - 07/01/2023 05:00","Portugal (PT)","4925.10","4679.00"
"07/01/2023 05:00 - 07/01/2023 06:00","Portugal (PT)","4842.10","4617.00"
"07/01/2023 06:00 - 07/01/2023 07:00","Portugal (PT)","4824.00","4607.00"
"07/01/2023 07:00 - 07/01/2023 08:00","Portugal (PT)","4923.10","4758.00"
"07/01/2023 08:00 - 07/01/2023 09:00","Portugal (PT)","5131.50","4976.00"
"07/01/2023 09:00 - 07/01/2023 10:00","Portugal (PT)","5513.90","5409.00"
"07/01/2023 10:00 - 07/01/2023 11:00","Portugal (PT)","6024.70","5853.00"
"07/01/2023 11:00 - 07/01/2023 12:00","Portugal (PT)","6407.00","6080.00"
"07/01/2023 12:00 - 07/01/2023 13:00","Portugal (PT)","6701.30","6187.00"
"07/01/2023 13:00 - 07/01/2023 14:00","Portugal (PT)","6891.10","6264.00"
"07/01/2023 14:00 - 07/01/2023 15:00","Portugal (PT)","6829.10","6208.00"
"07/01/2023 15:00 - 07/01/2023 16:00","Portugal (PT)","6750.80","6150.00"
"07/01/2023 16:00 - 07/01/2023 17:00","Portugal (PT)","6709.50","6157.00"
"07/01/2023 17:00 - 07/01/2023 18:00","Portugal (PT)","6683.70","6304.00"
"07/01/2023 18:00 - 07/01/2023 19:00","Portugal (PT)","6965.30","6799.00"
"07/01/2023 19:00 - 07/01/2023 20:00","Portugal (PT)","7316.90","7191.00"
"07/01/2023 20:00 - 07/01/2023 21:00","Portugal (PT)","7393.70","7266.00"
"07/01/2023 21:00 - 07/01/2023 22:00","Portugal (PT)","7281.10","7160.00"
"07/01/2023 22:00 - 07/01/2023 23:00","Portugal (PT)","6748.00","6799.00"
"07/01/2023 23:00 - 08/01/2023 00:00","Portugal (PT)","6320.50","6424.00"
"08/01/2023 00:00 - 08/01/2023 01:00","Portugal (PT)","5795.50","5922.00"
"08/01/2023 01:00 - 08/01/2023 02:00","Portugal (PT)","5304.00","5476.00"
"08/01/2023 02:00 - 08/01/2023 03:00","Portugal (PT)","4931.20","4985.00"
"08/01/2023 03:00 - 08/01/2023 04:00","Portugal (PT)","4652.40","4691.00"
"08/01/2023 04:00 - 08/01/2023 05:00","Portugal (PT)","4486.50","4536.00"
"08/01/2023 05:00 - 08/01/2023 06:00","Portugal (PT)","4438.90","4471.00"
"08/01/2023 06:00 - 08/01/2023 07:00","Portugal (PT)","4439.10","4465.00"
"08/01/2023 07:00 - 08/01/2023 08:00","Portugal (PT)","4531.40","4547.00"
"08/01/2023 08:00 - 08/01/2023 09:00","Portugal (PT)","4599.00","4607.00"
"08/01/2023 09:00 - 08/01/2023 10:00","Portugal (PT)","4815.30","4741.00"
"08/01/2023 10:00 - 08/01/2023 11:00","Portugal (PT)","5351.20","5220.00"
"08/01/2023 11:00 - 08/01/2023 12:00","Portugal (PT)","5872.10","5757.00"
"08/01/2023 12:00 - 08/01/2023 13:00","Portugal (PT)","6264.60","6181.00"
"08/01/2023 13:00 - 08/01/2023 14:00","Portugal (PT)","6515.00","6444.00"
"08/01/2023 14:00 - 08/01/2023 15:00","Portugal (PT)","6321.70","6317.00"
"08/01/2023 15:00 - 08/01/2023 16:00","Portugal (PT)","6207.00","6125.00"
"08/01/2023 16:00 - 08/01/2023 17:00","Portugal (PT)","6153.70","6048.00"
"08/01/2023 17:00 - 08/01/2023 18:00","Portugal (PT)","6152.20","6081.00"
"08/01/2023 18:00 - 08/01/2023 19:00","Portugal (PT)","6513.60","6489.00"
"08/01/2023 19:00 - 08/01/2023 20:00","Portugal (PT)","6895.80","6966.00"
"08/01/2023 20:00 - 08/01/2023 21:00","Portugal (PT)","7053.40","7223.00"
"08/01/2023 21:00 - 08/01/2023 22:00","Portugal (PT)","6997.50","7194.00"
"08/01/2023 22:00 - 08/01/2023 23:00","Portugal (PT)","6608.60","6815.00"
"08/01/2023 23:00 - 09/01/2023 00:00","Portugal (PT)","6133.80","6393.00"
"09/01/2023 00:00 - 09/01/2023 01:00","Portugal (PT)","5565.10","5808.00"
"09/01/2023 01:00 - 09/01/2023 02:00","Portugal (PT)","5129.40","5278.00"
"09/01/2023 02:00 - 09/01/2023 03:00","Portugal (PT)","4783.20","4930.00"
"09/01/2023 03:00 - 09/01/2023 04:00","Portugal (PT)","4582.50","4745.00"
"09/01/2023 04:00 - 09/01/2023 05:00","Portugal (PT)","4484.00","4647.00"
"09/01/2023 05:00 - 09/01/2023 06:00","Portugal (PT)","4459.60","4652.00"
"09/01/2023 06:00 - 09/01/2023 07:00","Portugal (PT)","4580.40","4806.00"
"09/01/2023 07:00 - 09/01/2023 08:00","Portugal (PT)","5092.20","5306.00"
"09/01/2023 08:00 - 09/01/2023 09:00","Portugal (PT)","5906.20","6101.00"
"09/01/2023 09:00 - 09/01/2023 10:00","Portugal (PT)","6793.10","7032.00"
"09/01/2023 10:00 - 09/01/2023 11:00","Portugal (PT)","7220.70","7502.00"
"09/01/2023 11:00 - 09/01/2023 12:00","Portugal (PT)","7191.50","7603.00"
"09/01/2023 12:00 - 09/01/2023 13:00","Portugal (PT)","7185.60","7676.00"
"09/01/2023 13:00 - 09/01/2023 14:00","Portugal (PT)","6926.00","7558.00"
"09/01/2023 14:00 - 09/01/2023 15:00","Portugal (PT)","6807.80","7425.00"
"09/01/2023 15:00 - 09/01/2023 16:00","Portugal (PT)","6828.10","7510.00"
"09/01/2023 16:00 - 09/01/2023 17:00","Portugal (PT)","6771.20","7453.00"
"09/01/2023 17:00 - 09/01/2023 18:00","Portugal (PT)","6839.50","7472.00"
"09/01/2023 18:00 - 09/01/2023 19:00","Portugal (PT)","7104.70","7700.00"
"09/01/2023 19:00 - 09/01/2023 20:00","Portugal (PT)","7563.70","8114.00"
"09/01/2023 20:00 - 09/01/2023 21:00","Portugal (PT)","7836.70","8339.00"
"09/01/2023 21:00 - 09/01/2023 22:00","Portugal (PT)","7748.50","8200.00"
"09/01/2023 22:00 - 09/01/2023 23:00","Portugal (PT)","7300.40","7814.00"
"09/01/2023 23:00 - 10/01/2023 00:00","Portugal (PT)","6720.50","7397.00"
"10/01/2023 00:00 - 10/01/2023 01:00","Portugal (PT)","6059.50","6248.00"
"10/01/2023 01:00 - 10/01/2023 02:00","Portugal (PT)","5465.50","5416.00"
"10/01/2023 02:00 - 10/01/2023 03:00","Portugal (PT)","5097.30","5099.00"
"10/01/2023 03:00 - 10/01/2023 04:00","Portugal (PT)","4893.10","4922.00"
"10/01/2023 04:00 - 10/01/2023 05:00","Portugal (PT)","4790.00","4838.00"
"10/01/2023 05:00 - 10/01/2023 06:00","Portugal (PT)","4713.00","4837.00"
"10/01/2023 06:00 - 10/01/2023 07:00","Portugal (PT)","4849.40","5002.00"
"10/01/2023 07:00 - 10/01/2023 08:00","Portugal (PT)","5260.50","5535.00"
"10/01/2023 08:00 - 10/01/2023 09:00","Portugal (PT)","6029.20","6253.00"
"10/01/2023 09:00 - 10/01/2023 10:00","Portugal (PT)","6924.90","6974.00"
"10/01/2023 10:00 - 10/01/2023 11:00","Portugal (PT)","7326.70","7277.00"
"10/01/2023 11:00 - 10/01/2023 12:00","Portugal (PT)","7387.40","7433.00"
"10/01/2023 12:00 - 10/01/2023 13:00","Portugal (PT)","7521.10","7544.00"
"10/01/2023 13:00 - 10/01/2023 14:00","Portugal (PT)","7373.10","7428.00"
"10/01/2023 14:00 - 10/01/2023 15:00","Portugal (PT)","7328.90","7434.00"
"10/01/2023 15:00 - 10/01/2023 16:00","Portugal (PT)","7485.30","7527.00"
"10/01/2023 16:00 - 10/01/2023 17:00","Portugal (PT)","7400.50","7389.00"
"10/01/2023 17:00 - 10/01/2023 18:00","Portugal (PT)","7301.50","7366.00"
"10/01/2023 18:00 - 10/01/2023 19:00","Portugal (PT)","7412.80","7615.00"
"10/01/2023 19:00 - 10/01/2023 20:00","Portugal (PT)","7792.10","7811.00"
"10/01/2023 20:00 - 10/01/2023 21:00","Portugal (PT)","7994.20","7887.00"
"10/01/2023 21:00 - 10/01/2023 22:00","Portugal (PT)","7849.10","7606.00"
"10/01/2023 22:00 - 10/01/2023 23:00","Portugal (PT)","7448.60","7187.00"
"10/01/2023 23:00 - 11/01/2023 00:00","Portugal (PT)","6828.10","6797.00"
"11/01/2023 00:00 - 11/01/2023 01:00","Portugal (PT)","6176.50","6127.00"
"11/01/2023 01:00 - 11/01/2023 02:00","Portugal (PT)","5574.50","5397.00"
"11/01/2023 02:00 - 11/01/2023 03:00","Portugal (PT)","5182.60","5082.00"
"11/01/2023 03:00 - 11/01/2023 04:00","Portugal (PT)","4973.10","4905.00"
"11/01/2023 04:00 - 11/01/2023 05:00","Portugal (PT)","4871.10","4821.00"
"11/01/2023 05:00 - 11/01/2023 06:00","Portugal (PT)","4854.70","4820.00"
"11/01/2023 06:00 - 11/01/2023 07:00","Portugal (PT)","4911.50","4985.00"
"11/01/2023 07:00 - 11/01/2023 08:00","Portugal (PT)","5341.70","5515.00"
"11/01/2023 08:00 - 11/01/2023 09:00","Portugal (PT)","6112.90","6231.00"
"11/01/2023 09:00 - 11/01/2023 10:00","Portugal (PT)","6967.60","6879.00"
"11/01/2023 10:00 - 11/01/2023 11:00","Portugal (PT)","7247.00","7143.00"
"11/01/2023 11:00 - 11/01/2023 12:00","Portugal (PT)","7126.00","7296.00"
"11/01/2023 12:00 - 11/01/2023 13:00","Portugal (PT)","7102.80","7405.00"
"11/01/2023 13:00 - 11/01/2023 14:00","Portugal (PT)","6873.50","7291.00"
"11/01/2023 14:00 - 11/01/2023 15:00","Portugal (PT)","6787.10","7296.00"
"11/01/2023 15:00 - 11/01/2023 16:00","Portugal (PT)","6875.20","7388.00"
"11/01/2023 16:00 - 11/01/2023 17:00","Portugal (PT)","6851.90","7252.00"
"11/01/2023 17:00 - 11/01/2023 18:00","Portugal (PT)","6957.10","7267.00"
"11/01/2023 18:00 - 11/01/2023 19:00","Portugal (PT)","7163.10","7588.00"
"11/01/2023 19:00 - 11/01/2023 20:00","Portugal (PT)","7660.30","7783.00"
"11/01/2023 20:00 - 11/01/2023 21:00","Portugal (PT)","7992.50","7859.00"
"11/01/2023 21:00 - 11/01/2023 22:00","Portugal (PT)","7944.50","7579.00"
"11/01/2023 22:00 - 11/01/2023 23:00","Portugal (PT)","7460.70","7161.00"
"11/01/2023 23:00 - 12/01/2023 00:00","Portugal (PT)","6852.30","6773.00"
"12/01/2023 00:00 - 12/01/2023 01:00","Portugal (PT)","6190.30","6127.00"
"12/01/2023 01:00 - 12/01/2023 02:00","Portugal (PT)","5596.00","5605.00"
"12/01/2023 02:00 - 12/01/2023 03:00","Portugal (PT)","5211.30","5177.00"
"12/01/2023 03:00 - 12/01/2023 04:00","Portugal (PT)","4996.70","4919.00"
"12/01/2023 04:00 - 12/01/2023 05:00","Portugal (PT)","4894.60","4803.00"
"12/01/2023 05:00 - 12/01/2023 06:00","Portugal (PT)","4854.00","4767.00"
"12/01/2023 06:00 - 12/01/2023 07:00","Portugal (PT)","4995.80","4872.00"
"12/01/2023 07:00 - 12/01/2023 08:00","Portugal (PT)","5424.80","5336.00"
"12/01/2023 08:00 - 12/01/2023 09:00","Portugal (PT)","6210.30","6036.00"
"12/01/2023 09:00 - 12/01/2023 10:00","Portugal (PT)","7094.30","6835.00"
"12/01/2023 10:00 - 12/01/2023 11:00","Portugal (PT)","7444.90","7055.00"
"12/01/2023 11:00 - 12/01/2023 12:00","Portugal (PT)","7392.60","6991.00"
"12/01/2023 12:00 - 12/01/2023 13:00","Portugal (PT)","7470.50","7039.00"
"12/01/2023 13:00 - 12/01/2023 14:00","Portugal (PT)","7279.50","6837.00"
"12/01/2023 14:00 - 12/01/2023 15:00","Portugal (PT)","7155.10","6769.00"
"12/01/2023 15:00 - 12/01/2023 16:00","Portugal (PT)","7220.30","6833.00"
"12/01/2023 16:00 - 12/01/2023 17:00","Portugal (PT)","7129.60","6843.00"
"12/01/2023 17:00 - 12/01/2023 18:00","Portugal (PT)","7233.60","7023.00"
"12/01/2023 18:00 - 12/01/2023 19:00","Portugal (PT)","7497.00","7498.00"
"12/01/2023 19:00 - 12/01/2023 20:00","Portugal (PT)","7978.80","8010.00"
"12/01/2023 20:00 - 12/01/2023 21:00","Portugal (PT)","8232.10","8158.00"
"12/01/2023 21:00 - 12/01/2023 22:00","Portugal (PT)","8071.60","8027.00"
"12/01/2023 22:00 - 12/01/2023 23:00","Portugal (PT)","7553.70","7597.00"
"12/01/2023 23:00 - 13/01/2023 00:00","Portugal (PT)","6994.70","7179.00"
"13/01/2023 00:00 - 13/01/2023 01:00","Portugal (PT)","6312.20","6127.00"
"13/01/2023 01:00 - 13/01/2023 02:00","Portugal (PT)","5658.70","5542.00"
"13/01/2023 02:00 - 13/01/2023 03:00","Portugal (PT)","5249.70","5121.00"
"13/01/2023 03:00 - 13/01/2023 04:00","Portugal (PT)","5023.20","4895.00"
"13/01/2023 04:00 - 13/01/2023 05:00","Portugal (PT)","4922.60","4775.00"
"13/01/2023 05:00 - 13/01/2023 06:00","Portugal (PT)","4903.10","4757.00"
"13/01/2023 06:00 - 13/01/2023 07:00","Portugal (PT)","4993.60","4976.00"
"13/01/2023 07:00 - 13/01/2023 08:00","Portugal (PT)","5436.60","5371.00"
"13/01/2023 08:00 - 13/01/2023 09:00","Portugal (PT)","6233.30","6128.00"
"13/01/2023 09:00 - 13/01/2023 10:00","Portugal (PT)","7030.10","6934.00"
"13/01/2023 10:00 - 13/01/2023 11:00","Portugal (PT)","7392.80","7325.00"
"13/01/2023 11:00 - 13/01/2023 12:00","Portugal (PT)","7327.20","7219.00"
"13/01/2023 12:00 - 13/01/2023 13:00","Portugal (PT)","7304.90","7246.00"
"13/01/2023 13:00 - 13/01/2023 14:00","Portugal (PT)","7066.70","7152.00"
"13/01/2023 14:00 - 13/01/2023 15:00","Portugal (PT)","6865.50","7129.00"
"13/01/2023 15:00 - 13/01/2023 16:00","Portugal (PT)","6869.50","7123.00"
"13/01/2023 16:00 - 13/01/2023 17:00","Portugal (PT)","6866.30","7106.00"
"13/01/2023 17:00 - 13/01/2023 18:00","Portugal (PT)","6929.70","7039.00"
"13/01/2023 18:00 - 13/01/2023 19:00","Portugal (PT)","7166.70","7205.00"
"13/01/2023 19:00 - 13/01/2023 20:00","Portugal (PT)","7671.50","7661.00"
