"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2023 00:00 - 01/01/2023 01:00","Portugal (PT)","4787.80","4725.00"
"01/01/2023 01:00 - 01/01/2023 02:00","Portugal (PT)","4542.10","4095.00"
"01/01/2023 02:00 - 01/01/2023 03:00","Portugal (PT)","4397.20","3524.00"
"01/01/2023 03:00 - 01/01/2023 04:00","Portugal (PT)","4146.60","3089.00"
"01/01/2023 04:00 - 01/01/2023 05:00","Portugal (PT)","3955.70","2836.00"
"01/01/2023 05:00 - 01/01/2023 06:00","Portugal (PT)","3801.30","2669.00"
"01/01/2023 06:00 - 01/01/2023 07:00","Portugal (PT)","3693.40","2631.00"
"01/01/2023 07:00 - 01/01/2023 08:00","Portugal (PT)","3687.20","2602.00"
"01/01/2023 08:00 - 01/01/2023 09:00","Portugal (PT)","3638.70","2613.00"
"01/01/2023 09:00 - 01/01/2023 10:00","Portugal (PT)","3637.60","2638.00"
"01/01/2023 10:00 - 01/01/2023 11:00","Portugal (PT)","3979.00","2920.00"
"01/01/2023 11:00 - 01/01/2023 12:00","Portugal (PT)","4493.40","3399.00"
"01/01/2023 12:00 - 01/01/2023 13:00","Portugal (PT)","5031.80","3811.00"
"01/01/2023 13:00 - 01/01/2023 14:00","Portugal (PT)","5340.70","4004.00"
"01/01/2023 14:00 - 01/01/2023 15:00","Portugal (PT)","5169.30","3851.00"
"01/01/2023 15:00 - 01/01/2023 16:00","Portugal (PT)","4964.10","3604.00"
"01/01/2023 16:00 - 01/01/2023 17:00","Portugal (PT)","4930.80","3568.00"
"01/01/2023 17:00 - 01/01/2023 18:00","Portugal (PT)","4966.40","3532.00"
"01/01/2023 18:00 - 01/01/2023 19:00","Portugal (PT)","5257.30","3868.00"
"01/01/2023 19:00 - 01/01/2023 20:00","Portugal (PT)","5580.20","4641.00"
"01/01/2023 20:00 - 01/01/2023 21:00","Portugal (PT)","5727.50","4965.00"
"01/01/2023 21:00 - 01/01/2023 22:00","Portugal (PT)","5709.40","5015.00"
"01/01/2023 22:00 - 01/01/2023 23:00","Portugal (PT)","5515.00","4892.00"
"01/01/2023 23:00 - 02/01/2023 00:00","Portugal (PT)","5214.10","4532.00"
"02/01/2023 00:00 - 02/01/2023 01:00","Portugal (PT)","4742.50","3956.00"
"02/01/2023 01:00 - 02/01/2023 02:00","Portugal (PT)","4351.30","4445.00"
"02/01/2023 02:00 - 02/01/2023 03:00","Portugal (PT)","4022.40","4008.00"
"02/01/2023 03:00 - 02/01/2023 04:00","Portugal (PT)","3839.00","3747.00"
"02/01/2023 04:00 - 02/01/2023 05:00","Portugal (PT)","3757.60","3639.00"
"02/01/2023 05:00 - 02/01/2023 06:00","Portugal (PT)","3741.80","3610.00"
"02/01/2023 06:00 - 02/01/2023 07:00","Portugal (PT)","3866.70","3670.00"
"02/01/2023 07:00 - 02/01/2023 08:00","Portugal (PT)","4224.20","3982.00"
"02/01/2023 08:00 - 02/01/2023 09:00","Portugal (PT)","4745.80","4746.00"
"02/01/2023 09:00 - 02/01/2023 10:00","Portugal (PT)","5507.20","5600.00"
"02/01/2023 10:00 - 02/01/2023 11:00","Portugal (PT)","6140.10","6273.00"
"02/01/2023 11:00 - 02/01/2023 12:00","Portugal (PT)","6318.90","6492.00"
"02/01/2023 12:00 - 02/01/2023 13:00","Portugal (PT)","6400.30","6631.00"
"02/01/2023 13:00 - 02/01/2023 14:00","Portugal (PT)","6346.20","6338.00"
"02/01/2023 14:00 - 02/01/2023 15:00","Portugal (PT)","6267.00","6216.00"
"02/01/2023 15:00 - 02/01/2023 16:00","Portugal (PT)","6365.90","6472.00"
"02/01/2023 16:00 - 02/01/2023 17:00","Portugal (PT)","6347.20","6477.00"
"02/01/2023 17:00 - 02/01/2023 18:00","Portugal (PT)","6435.40","6438.00"
"02/01/2023 18:00 - 02/01/2023 19:00","Portugal (PT)","6751.20","6645.00"
"02/01/2023 19:00 - 02/01/2023 20:00","Portugal (PT)","7220.60","7184.00"
"02/01/2023 20:00 - 02/01/2023 21:00","Portugal (PT)","7462.50","7258.00"
"02/01/2023 21:00 - 02/01/2023 22:00","Portugal (PT)","7351.60","7116.00"
"02/01/2023 22:00 - 02/01/2023 23:00","Portugal (PT)","6948.00","6898.00"
"02/01/2023 23:00 - 03/01/2023 00:00","Portugal (PT)","6417.80","6529.00"
"03/01/2023 00:00 - 03/01/2023 01:00","Portugal (PT)","5835.00","5797.00"
"03/01/2023 01:00 - 03/01/2023 02:00","Portugal (PT)","5321.90","4854.00"
"03/01/2023 02:00 - 03/01/2023 03:00","Portugal (PT)","4952.80","4399.00"
"03/01/2023 03:00 - 03/01/2023 04:00","Portugal (PT)","4722.40","4117.00"
"03/01/2023 04:00 - 03/01/2023 05:00","Portugal (PT)","4632.00","3986.00"
"03/01/2023 05:00 - 03/01/2023 06:00","Portugal (PT)","4613.80","3927.00"
"03/01/2023 06:00 - 03/01/2023 07:00","Portugal (PT)","4715.80","3975.00"
"03/01/2023 07:00 - 03/01/2023 08:00","Portugal (PT)","5152.00","4197.00"
"03/01/2023 08:00 - 03/01/2023 09:00","Portugal (PT)","5948.20","4860.00"
"03/01/2023 09:00 - 03/01/2023 10:00","Portugal (PT)","6789.40","5719.00"
"03/01/2023 10:00 - 03/01/2023 11:00","Portugal (PT)","7093.40","6272.00"
"03/01/2023 11:00 - 03/01/2023 12:00","Portugal (PT)","7093.20","6434.00"
"03/01/2023 12:00 - 03/01/2023 13:00","Portugal (PT)","7096.30","6548.00"
"03/01/2023 13:00 - 03/01/2023 14:00","Portugal (PT)","6931.80","6254.00"
"03/01/2023 14:00 - 03/01/2023 15:00","Portugal (PT)","6803.30","6115.00"
"03/01/2023 15:00 - 03/01/2023 16:00","Portugal (PT)","6903.80","6357.00"
"03/01/2023 16:00 - 03/01/2023 17:00","Portugal (PT)","6905.20","6357.00"
"03/01/2023 17:00 - 03/01/2023 18:00","Portugal (PT)","7013.50","6345.00"
"03/01/2023 18:00 - 03/01/2023 19:00","Portugal (PT)","7341.10","6511.00"
"03/01/2023 19:00 - 03/01/2023 20:00","Portugal (PT)","7809.70","6954.00"
"03/01/2023 20:00 - 03/01/2023 21:00","Portugal (PT)","8115.10","7006.00"
"03/01/2023 21:00 - 03/01/2023 22:00","Portugal (PT)","8016.90","6841.00"
"03/01/2023 22:00 - 03/01/2023 23:00","Portugal (PT)","7555.30","6619.00"
"03/01/2023 23:00 - 04/01/2023 00:00","Portugal (PT)","6973.40","6277.00"
"04/01/2023 00:00 - 04/01/2023 01:00","Portugal (PT)","6262.80","5936.00"
"04/01/2023 01:00 - 04/01/2023 02:00","Portugal (PT)","5631.40","5123.00"
"04/01/2023 02:00 - 04/01/2023 03:00","Portugal (PT)","5220.70","4643.00"
"04/01/2023 03:00 - 04/01/2023 04:00","Portugal (PT)","4985.70","4345.00"
"04/01/2023 04:00 - 04/01/2023 05:00","Portugal (PT)","4881.70","4207.00"
"04/01/2023 05:00 - 04/01/2023 06:00","Portugal (PT)","4846.00","4144.00"
"04/01/2023 06:00 - 04/01/2023 07:00","Portugal (PT)","4949.80","4195.00"
"04/01/2023 07:00 - 04/01/2023 08:00","Portugal (PT)","5375.00","4429.00"
"04/01/2023 08:00 - 04/01/2023 09:00","Portugal (PT)","6177.00","5129.00"
"04/01/2023 09:00 - 04/01/2023 10:00","Portugal (PT)","6991.30","6036.00"
"04/01/2023 10:00 - 04/01/2023 11:00","Portugal (PT)","7413.60","6619.00"
"04/01/2023 11:00 - 04/01/2023 12:00","Portugal (PT)","7331.90","6790.00"
"04/01/2023 12:00 - 04/01/2023 13:00","Portugal (PT)","7288.40","6910.00"
"04/01/2023 13:00 - 04/01/2023 14:00","Portugal (PT)","7036.00","6601.00"
"04/01/2023 14:00 - 04/01/2023 15:00","Portugal (PT)","6832.30","6454.00"
"04/01/2023 15:00 - 04/01/2023 16:00","Portugal (PT)","6936.60","6709.00"
"04/01/2023 16:00 - 04/01/2023 17:00","Portugal (PT)","6927.90","6709.00"
"04/01/2023 17:00 - 04/01/2023 18:00","Portugal (PT)","7056.50","6697.00"
"04/01/2023 18:00 - 04/01/2023 19:00","Portugal (PT)","7439.80","6871.00"
"04/01/2023 19:00 - 04/01/2023 20:00","Portugal (PT)","7963.00","7340.00"
"04/01/2023 20:00 - 04/01/2023 21:00","Portugal (PT)","8258.40","7394.00"
"04/01/2023 21:00 - 04/01/2023 22:00","Portugal (PT)","8126.90","7220.00"
"04/01/2023 22:00 - 04/01/2023 23:00","Portugal (PT)","7680.80","6985.00"
"04/01/2023 23:00 - 05/01/2023 00:00","Portugal (PT)","7106.50","6625.00"
"05/01/2023 00:00 - 05/01/2023 01:00","Portugal (PT)","6402.20","6677.00"
"05/01/2023 01:00 - 05/01/2023 02:00","Portugal (PT)","5737.20","5600.00"
"05/01/2023 02:00 - 05/01/2023 03:00","Portugal (PT)","5320.30","5205.00"
"05/01/2023 03:00 - 05/01/2023 04:00","Portugal (PT)","5075.20","4960.00"
"05/01/2023 04:00 - 05/01/2023 05:00","Portugal (PT)","4967.50","4848.00"
"05/01/2023 05:00 - 05/01/2023 06:00","Portugal (PT)","4930.40","4809.00"
"05/01/2023 06:00 - 05/01/2023 07:00","Portugal (PT)","5001.30","4878.00"
"05/01/2023 07:00 - 05/01/2023 08:00","Portugal (PT)","5441.50","5225.00"
"05/01/2023 08:00 - 05/01/2023 09:00","Portugal (PT)","6240.70","5876.00"
