"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"04/01/2024 14:00 - 04/01/2024 15:00","Portugal (PT)","7380.70","7338.00"
"04/01/2024 15:00 - 04/01/2024 16:00","Portugal (PT)","7571.90","7598.00"
"04/01/2024 16:00 - 04/01/2024 17:00","Portugal (PT)","7594.80","7517.00"
"04/01/2024 17:00 - 04/01/2024 18:00","Portugal (PT)","7635.10","7577.00"
"04/01/2024 18:00 - 04/01/2024 19:00","Portugal (PT)","7779.60","7860.00"
"04/01/2024 19:00 - 04/01/2024 20:00","Portugal (PT)","8174.00","8284.00"
"04/01/2024 20:00 - 04/01/2024 21:00","Portugal (PT)","8487.40","8409.00"
"04/01/2024 21:00 - 04/01/2024 22:00","Portugal (PT)","8389.50","8232.00"
"04/01/2024 22:00 - 04/01/2024 23:00","Portugal (PT)","7932.60","7759.00"
"04/01/2024 23:00 - 05/01/2024 00:00","Portugal (PT)","7316.70","7327.00"
"05/01/2024 00:00 - 05/01/2024 01:00","Portugal (PT)","6518.90","6419.00"
"05/01/2024 01:00 - 05/01/2024 02:00","Portugal (PT)","5853.80","5823.00"
"05/01/2024 02:00 - 05/01/2024 03:00","Portugal (PT)","5400.70","5427.00"
"05/01/2024 03:00 - 05/01/2024 04:00","Portugal (PT)","5158.80","5183.00"
"05/01/2024 04:00 - 05/01/2024 05:00","Portugal (PT)","5037.30","5079.00"
"05/01/2024 05:00 - 05/01/2024 06:00","Portugal (PT)","4981.70","5035.00"
"05/01/2024 06:00 - 05/01/2024 07:00","Portugal (PT)","5097.80","5134.00"
"05/01/2024 07:00 - 05/01/2024 08:00","Portugal (PT)","5649.20","5590.00"
"05/01/2024 08:00 - 05/01/2024 09:00","Portugal (PT)","6465.80","6315.00"
"05/01/2024 09:00 - 05/01/2024 10:00","Portugal (PT)","7328.40","7126.00"
"05/01/2024 10:00 - 05/01/2024 11:00","Portugal (PT)","7678.90","7559.00"
"05/01/2024 11:00 - 05/01/2024 12:00","Portugal (PT)","7616.00","7566.00"
"05/01/2024 12:00 - 05/01/2024 13:00","Portugal (PT)","7683.50","7492.00"
"05/01/2024 13:00 - 05/01/2024 14:00","Portugal (PT)","7629.50","7410.00"
"05/01/2024 14:00 - 05/01/2024 15:00","Portugal (PT)","7529.90","7391.00"
"05/01/2024 15:00 - 05/01/2024 16:00","Portugal (PT)","7650.40","7518.00"
"05/01/2024 16:00 - 05/01/2024 17:00","Portugal (PT)","7616.50","7595.00"
"05/01/2024 17:00 - 05/01/2024 18:00","Portugal (PT)","7642.50","7694.00"
"05/01/2024 18:00 - 05/01/2024 19:00","Portugal (PT)","7981.00","7959.00"
"05/01/2024 19:00 - 05/01/2024 20:00","Portugal (PT)","8405.40","8384.00"
"05/01/2024 20:00 - 05/01/2024 21:00","Portugal (PT)","8581.50","8577.00"
"05/01/2024 21:00 - 05/01/2024 22:00","Portugal (PT)","8383.30","8378.00"
"05/01/2024 22:00 - 05/01/2024 23:00","Portugal (PT)","7894.40","7928.00"
"05/01/2024 23:00 - 06/01/2024 00:00","Portugal (PT)","7320.20","7335.00"
"06/01/2024 00:00 - 06/01/2024 01:00","Portugal (PT)","6636.80","6529.00"
"06/01/2024 01:00 - 06/01/2024 02:00","Portugal (PT)","6088.20","5973.00"
"06/01/2024 02:00 - 06/01/2024 03:00","Portugal (PT)","5599.90","5519.00"
"06/01/2024 03:00 - 06/01/2024 04:00","Portugal (PT)","5249.90","5211.00"
"06/01/2024 04:00 - 06/01/2024 05:00","Portugal (PT)","5077.00","5063.00"
"06/01/2024 05:00 - 06/01/2024 06:00","Portugal (PT)","4960.90","4990.00"
"06/01/2024 06:00 - 06/01/2024 07:00","Portugal (PT)","4978.50","4999.00"
"06/01/2024 07:00 - 06/01/2024 08:00","Portugal (PT)","5081.50","5148.00"
"06/01/2024 08:00 - 06/01/2024 09:00","Portugal (PT)","5317.30","5384.00"
"06/01/2024 09:00 - 06/01/2024 10:00","Portugal (PT)","5695.50","5796.00"
"06/01/2024 10:00 - 06/01/2024 11:00","Portugal (PT)","6179.80","6284.00"
"06/01/2024 11:00 - 06/01/2024 12:00","Portugal (PT)","6289.80","6430.00"
"06/01/2024 12:00 - 06/01/2024 13:00","Portugal (PT)","6455.90","6411.00"
"06/01/2024 13:00 - 06/01/2024 14:00","Portugal (PT)","6527.20","6410.00"
"06/01/2024 14:00 - 06/01/2024 15:00","Portugal (PT)","6448.50","6348.00"
"06/01/2024 15:00 - 06/01/2024 16:00","Portugal (PT)","6416.70","6309.00"
"06/01/2024 16:00 - 06/01/2024 17:00","Portugal (PT)","6377.80","6295.00"
"06/01/2024 17:00 - 06/01/2024 18:00","Portugal (PT)","6505.70","6351.00"
"06/01/2024 18:00 - 06/01/2024 19:00","Portugal (PT)","7046.00","6933.00"
"06/01/2024 19:00 - 06/01/2024 20:00","Portugal (PT)","7683.60","7821.00"
"06/01/2024 20:00 - 06/01/2024 21:00","Portugal (PT)","7893.40","8101.00"
"06/01/2024 21:00 - 06/01/2024 22:00","Portugal (PT)","7778.60","7908.00"
"06/01/2024 22:00 - 06/01/2024 23:00","Portugal (PT)","7347.70","7443.00"
"06/01/2024 23:00 - 07/01/2024 00:00","Portugal (PT)","6875.40","6995.00"
"07/01/2024 00:00 - 07/01/2024 01:00","Portugal (PT)","6304.90","6158.00"
"07/01/2024 01:00 - 07/01/2024 02:00","Portugal (PT)","5770.80","5646.00"
"07/01/2024 02:00 - 07/01/2024 03:00","Portugal (PT)","5314.70","5237.00"
"07/01/2024 03:00 - 07/01/2024 04:00","Portugal (PT)","4956.00","4929.00"
"07/01/2024 04:00 - 07/01/2024 05:00","Portugal (PT)","4761.90","4800.00"
"07/01/2024 05:00 - 07/01/2024 06:00","Portugal (PT)","4699.00","4706.00"
"07/01/2024 06:00 - 07/01/2024 07:00","Portugal (PT)","4726.70","4716.00"
"07/01/2024 07:00 - 07/01/2024 08:00","Portugal (PT)","4848.70","4824.00"
"07/01/2024 08:00 - 07/01/2024 09:00","Portugal (PT)","4972.30","4949.00"
"07/01/2024 09:00 - 07/01/2024 10:00","Portugal (PT)","5207.00","5232.00"
"07/01/2024 10:00 - 07/01/2024 11:00","Portugal (PT)","5619.30","5738.00"
"07/01/2024 11:00 - 07/01/2024 12:00","Portugal (PT)","5924.00","6031.00"
"07/01/2024 12:00 - 07/01/2024 13:00","Portugal (PT)","6187.00","6267.00"
"07/01/2024 13:00 - 07/01/2024 14:00","Portugal (PT)","6303.20","6321.00"
"07/01/2024 14:00 - 07/01/2024 15:00","Portugal (PT)","6101.60","6096.00"
"07/01/2024 15:00 - 07/01/2024 16:00","Portugal (PT)","5904.60","5947.00"
"07/01/2024 16:00 - 07/01/2024 17:00","Portugal (PT)","5889.60","5946.00"
"07/01/2024 17:00 - 07/01/2024 18:00","Portugal (PT)","6047.80","6114.00"
"07/01/2024 18:00 - 07/01/2024 19:00","Portugal (PT)","6725.10","6798.00"
"07/01/2024 19:00 - 07/01/2024 20:00","Portugal (PT)","7561.40","7567.00"
"07/01/2024 20:00 - 07/01/2024 21:00","Portugal (PT)","7973.70","7798.00"
"07/01/2024 21:00 - 07/01/2024 22:00","Portugal (PT)","7963.70","7729.00"
"07/01/2024 22:00 - 07/01/2024 23:00","Portugal (PT)","7563.90","7368.00"
"07/01/2024 23:00 - 08/01/2024 00:00","Portugal (PT)","7006.50","6917.00"
"08/01/2024 00:00 - 08/01/2024 01:00","Portugal (PT)","6305.80","6283.00"
"08/01/2024 01:00 - 08/01/2024 02:00","Portugal (PT)","5763.30","5678.00"
"08/01/2024 02:00 - 08/01/2024 03:00","Portugal (PT)","5288.80","5308.00"
"08/01/2024 03:00 - 08/01/2024 04:00","Portugal (PT)","4992.10","5076.00"
"08/01/2024 04:00 - 08/01/2024 05:00","Portugal (PT)","4881.00","4989.00"
"08/01/2024 05:00 - 08/01/2024 06:00","Portugal (PT)","4870.80","4926.00"
"08/01/2024 06:00 - 08/01/2024 07:00","Portugal (PT)","5009.20","5131.00"
"08/01/2024 07:00 - 08/01/2024 08:00","Portugal (PT)","5597.60","5658.00"
"08/01/2024 08:00 - 08/01/2024 09:00","Portugal (PT)","6604.30","6447.00"
"08/01/2024 09:00 - 08/01/2024 10:00","Portugal (PT)","7661.30","7338.00"
"08/01/2024 10:00 - 08/01/2024 11:00","Portugal (PT)","8388.10","7866.00"
"08/01/2024 11:00 - 08/01/2024 12:00","Portugal (PT)","8582.70","8018.00"
"08/01/2024 12:00 - 08/01/2024 13:00","Portugal (PT)","8760.20","8235.00"
"08/01/2024 13:00 - 08/01/2024 14:00","Portugal (PT)","8721.30","8148.00"
"08/01/2024 14:00 - 08/01/2024 15:00","Portugal (PT)","8794.20","8164.00"
"08/01/2024 15:00 - 08/01/2024 16:00","Portugal (PT)","8980.60","8384.00"
"08/01/2024 16:00 - 08/01/2024 17:00","Portugal (PT)","8895.30","8462.00"
"08/01/2024 17:00 - 08/01/2024 18:00","Portugal (PT)","8920.70","8591.00"
"08/01/2024 18:00 - 08/01/2024 19:00","Portugal (PT)","9047.30","8772.00"
"08/01/2024 19:00 - 08/01/2024 20:00","Portugal (PT)","9404.50","9130.00"
"08/01/2024 20:00 - 08/01/2024 21:00","Portugal (PT)","9704.90","9348.00"
"08/01/2024 21:00 - 08/01/2024 22:00","Portugal (PT)","9515.90","9202.00"
"08/01/2024 22:00 - 08/01/2024 23:00","Portugal (PT)","8952.50","8696.00"
"08/01/2024 23:00 - 09/01/2024 00:00","Portugal (PT)","8136.40","8028.00"
"09/01/2024 00:00 - 09/01/2024 01:00","Portugal (PT)","7153.90","7066.00"
"09/01/2024 01:00 - 09/01/2024 02:00","Portugal (PT)","6376.20","6367.00"
"09/01/2024 02:00 - 09/01/2024 03:00","Portugal (PT)","5866.20","5921.00"
"09/01/2024 03:00 - 09/01/2024 04:00","Portugal (PT)","5559.40","5587.00"
"09/01/2024 04:00 - 09/01/2024 05:00","Portugal (PT)","5421.00","5430.00"
"09/01/2024 05:00 - 09/01/2024 06:00","Portugal (PT)","5365.40","5360.00"
"09/01/2024 06:00 - 09/01/2024 07:00","Portugal (PT)","5444.70","5471.00"
"09/01/2024 07:00 - 09/01/2024 08:00","Portugal (PT)","5924.40","5956.00"
"09/01/2024 08:00 - 09/01/2024 09:00","Portugal (PT)","6845.20","6698.00"
"09/01/2024 09:00 - 09/01/2024 10:00","Portugal (PT)","7858.30","7550.00"
"09/01/2024 10:00 - 09/01/2024 11:00","Portugal (PT)","8453.80","8103.00"
"09/01/2024 11:00 - 09/01/2024 12:00","Portugal (PT)","8558.60","8277.00"
"09/01/2024 12:00 - 09/01/2024 13:00","Portugal (PT)","8717.70","8454.00"
"09/01/2024 13:00 - 09/01/2024 14:00","Portugal (PT)","8623.30","8317.00"
"09/01/2024 14:00 - 09/01/2024 15:00","Portugal (PT)","8680.50","8257.00"
"09/01/2024 15:00 - 09/01/2024 16:00","Portugal (PT)","8818.20","8359.00"
"09/01/2024 16:00 - 09/01/2024 17:00","Portugal (PT)","8695.00","8316.00"
"09/01/2024 17:00 - 09/01/2024 18:00","Portugal (PT)","8678.40","8317.00"
"09/01/2024 18:00 - 09/01/2024 19:00","Portugal (PT)","8781.00","8556.00"
"09/01/2024 19:00 - 09/01/2024 20:00","Portugal (PT)","9174.60","9093.00"
"09/01/2024 20:00 - 09/01/2024 21:00","Portugal (PT)","9480.30","9337.00"
"09/01/2024 21:00 - 09/01/2024 22:00","Portugal (PT)","9341.10","9218.00"
"09/01/2024 22:00 - 09/01/2024 23:00","Portugal (PT)","8827.60","8745.00"
"09/01/2024 23:00 - 10/01/2024 00:00","Portugal (PT)","8046.20","8028.00"
"10/01/2024 00:00 - 10/01/2024 01:00","Portugal (PT)","7092.50","7023.00"
"10/01/2024 01:00 - 10/01/2024 02:00","Portugal (PT)","6323.60","6310.00"
"10/01/2024 02:00 - 10/01/2024 03:00","Portugal (PT)","5821.00","5747.00"
"10/01/2024 03:00 - 10/01/2024 04:00","Portugal (PT)","5526.30","5455.00"
"10/01/2024 04:00 - 10/01/2024 05:00","Portugal (PT)","5354.60","5327.00"
"10/01/2024 05:00 - 10/01/2024 06:00","Portugal (PT)","5309.90","5290.00"
"10/01/2024 06:00 - 10/01/2024 07:00","Portugal (PT)","5435.50","5407.00"
"10/01/2024 07:00 - 10/01/2024 08:00","Portugal (PT)","5903.90","5809.00"
"10/01/2024 08:00 - 10/01/2024 09:00","Portugal (PT)","6807.00","6652.00"
"10/01/2024 09:00 - 10/01/2024 10:00","Portugal (PT)","7760.00","7649.00"
"10/01/2024 10:00 - 10/01/2024 11:00","Portugal (PT)","8234.00","8191.00"
"10/01/2024 11:00 - 10/01/2024 12:00","Portugal (PT)","8214.20","8257.00"
"10/01/2024 12:00 - 10/01/2024 13:00","Portugal (PT)","8304.30","8291.00"
"10/01/2024 13:00 - 10/01/2024 14:00","Portugal (PT)","8201.60","8156.00"
"10/01/2024 14:00 - 10/01/2024 15:00","Portugal (PT)","8091.80","8080.00"
"10/01/2024 15:00 - 10/01/2024 16:00","Portugal (PT)","8145.10","8193.00"
"10/01/2024 16:00 - 10/01/2024 17:00","Portugal (PT)","8075.40","8091.00"
"10/01/2024 17:00 - 10/01/2024 18:00","Portugal (PT)","8109.20","8146.00"
"10/01/2024 18:00 - 10/01/2024 19:00","Portugal (PT)","8374.70","8493.00"
"10/01/2024 19:00 - 10/01/2024 20:00","Portugal (PT)","8908.80","9162.00"
"10/01/2024 20:00 - 10/01/2024 21:00","Portugal (PT)","9322.40","9441.00"
"10/01/2024 21:00 - 10/01/2024 22:00","Portugal (PT)","9206.10","9262.00"
"10/01/2024 22:00 - 10/01/2024 23:00","Portugal (PT)","8645.20","8778.00"
"10/01/2024 23:00 - 11/01/2024 00:00","Portugal (PT)","8005.10","7994.00"
"11/01/2024 00:00 - 11/01/2024 01:00","Portugal (PT)","7111.80","7136.00"
"11/01/2024 01:00 - 11/01/2024 02:00","Portugal (PT)","6370.70","6453.00"
"11/01/2024 02:00 - 11/01/2024 03:00","Portugal (PT)","5802.10","6012.00"
"11/01/2024 03:00 - 11/01/2024 04:00","Portugal (PT)","5523.50","5700.00"
"11/01/2024 04:00 - 11/01/2024 05:00","Portugal (PT)","5388.40","5565.00"
"11/01/2024 05:00 - 11/01/2024 06:00","Portugal (PT)","5274.50","5502.00"
"11/01/2024 06:00 - 11/01/2024 07:00","Portugal (PT)","5427.30","5568.00"
"11/01/2024 07:00 - 11/01/2024 08:00","Portugal (PT)","5983.50","6103.00"
"11/01/2024 08:00 - 11/01/2024 09:00","Portugal (PT)","6833.30","6923.00"
"11/01/2024 09:00 - 11/01/2024 10:00","Portugal (PT)","7745.50","7878.00"
"11/01/2024 10:00 - 11/01/2024 11:00","Portugal (PT)","8103.00","8375.00"
"11/01/2024 11:00 - 11/01/2024 12:00","Portugal (PT)","7986.40","8307.00"
"11/01/2024 12:00 - 11/01/2024 13:00","Portugal (PT)","7905.00","8181.00"
"11/01/2024 13:00 - 11/01/2024 14:00","Portugal (PT)","7652.10","7910.00"
"11/01/2024 14:00 - 11/01/2024 15:00","Portugal (PT)","7455.70","7772.00"
"11/01/2024 15:00 - 11/01/2024 16:00","Portugal (PT)","7608.70","7884.00"
"11/01/2024 16:00 - 11/01/2024 17:00","Portugal (PT)","7598.20","7936.00"
"11/01/2024 17:00 - 11/01/2024 18:00","Portugal (PT)","7911.30","8107.00"
"11/01/2024 18:00 - 11/01/2024 19:00","Portugal (PT)","8370.40","8510.00"
"11/01/2024 19:00 - 11/01/2024 20:00","Portugal (PT)","9001.10","9156.00"
"11/01/2024 20:00 - 11/01/2024 21:00","Portugal (PT)","9427.50","9432.00"
"11/01/2024 21:00 - 11/01/2024 22:00","Portugal (PT)","9329.30","9355.00"
"11/01/2024 22:00 - 11/01/2024 23:00","Portugal (PT)","8856.00","8889.00"
"11/01/2024 23:00 - 12/01/2024 00:00","Portugal (PT)","8057.70","8200.00"
"12/01/2024 00:00 - 12/01/2024 01:00","Portugal (PT)","7190.10","7200.00"
"12/01/2024 01:00 - 12/01/2024 02:00","Portugal (PT)","6409.60","6358.00"
"12/01/2024 02:00 - 12/01/2024 03:00","Portugal (PT)","5887.30","5914.00"
"12/01/2024 03:00 - 12/01/2024 04:00","Portugal (PT)","5607.60","5616.00"
"12/01/2024 04:00 - 12/01/2024 05:00","Portugal (PT)","5441.40","5470.00"
"12/01/2024 05:00 - 12/01/2024 06:00","Portugal (PT)","5368.90","5413.00"
"12/01/2024 06:00 - 12/01/2024 07:00","Portugal (PT)","5488.30","5515.00"
"12/01/2024 07:00 - 12/01/2024 08:00","Portugal (PT)","6031.80","6003.00"
"12/01/2024 08:00 - 12/01/2024 09:00","Portugal (PT)","6922.20","6784.00"
"12/01/2024 09:00 - 12/01/2024 10:00","Portugal (PT)","7897.40","7705.00"
"12/01/2024 10:00 - 12/01/2024 11:00","Portugal (PT)","8344.60","8135.00"
"12/01/2024 11:00 - 12/01/2024 12:00","Portugal (PT)","8303.10","8099.00"
"12/01/2024 12:00 - 12/01/2024 13:00","Portugal (PT)","8264.50","8025.00"
"12/01/2024 13:00 - 12/01/2024 14:00","Portugal (PT)","8066.00","7841.00"
"12/01/2024 14:00 - 12/01/2024 15:00","Portugal (PT)","8035.30","7690.00"
"12/01/2024 15:00 - 12/01/2024 16:00","Portugal (PT)","8107.40","7810.00"
"12/01/2024 16:00 - 12/01/2024 17:00","Portugal (PT)","8073.60","7872.00"
"12/01/2024 17:00 - 12/01/2024 18:00","Portugal (PT)","8289.20","7990.00"
"12/01/2024 18:00 - 12/01/2024 19:00","Portugal (PT)","8566.40","8287.00"
"12/01/2024 19:00 - 12/01/2024 20:00","Portugal (PT)","9075.80","8825.00"
"12/01/2024 20:00 - 12/01/2024 21:00","Portugal (PT)","9296.40","9084.00"
"12/01/2024 21:00 - 12/01/2024 22:00","Portugal (PT)","9098.20","8925.00"
"12/01/2024 22:00 - 12/01/2024 23:00","Portugal (PT)","8622.90","8451.00"
"12/01/2024 23:00 - 13/01/2024 00:00","Portugal (PT)","7981.70","7839.00"
"13/01/2024 00:00 - 13/01/2024 01:00","Portugal (PT)","7133.60","7014.00"
"13/01/2024 01:00 - 13/01/2024 02:00","Portugal (PT)","6358.20","6270.00"
"13/01/2024 02:00 - 13/01/2024 03:00","Portugal (PT)","5796.30","5779.00"
"13/01/2024 03:00 - 13/01/2024 04:00","Portugal (PT)","5468.20","5461.00"
"13/01/2024 04:00 - 13/01/2024 05:00","Portugal (PT)","5276.10","5239.00"
"13/01/2024 05:00 - 13/01/2024 06:00","Portugal (PT)","5182.10","5156.00"
"13/01/2024 06:00 - 13/01/2024 07:00","Portugal (PT)","5182.80","5145.00"
"13/01/2024 07:00 - 13/01/2024 08:00","Portugal (PT)","5328.40","5296.00"
"13/01/2024 08:00 - 13/01/2024 09:00","Portugal (PT)","5465.50","5547.00"
"13/01/2024 09:00 - 13/01/2024 10:00","Portugal (PT)","5919.40","5991.00"
"13/01/2024 10:00 - 13/01/2024 11:00","Portugal (PT)","6523.80","6482.00"
"13/01/2024 11:00 - 13/01/2024 12:00","Portugal (PT)","6823.30","6678.00"
"13/01/2024 12:00 - 13/01/2024 13:00","Portugal (PT)","7075.30","6841.00"
"13/01/2024 13:00 - 13/01/2024 14:00","Portugal (PT)","7261.00","6869.00"
"13/01/2024 14:00 - 13/01/2024 15:00","Portugal (PT)","7103.40","6724.00"
"13/01/2024 15:00 - 13/01/2024 16:00","Portugal (PT)","7046.00","6631.00"
"13/01/2024 16:00 - 13/01/2024 17:00","Portugal (PT)","7044.10","6603.00"
"13/01/2024 17:00 - 13/01/2024 18:00","Portugal (PT)","7238.20","6649.00"
"13/01/2024 18:00 - 13/01/2024 19:00","Portugal (PT)","7471.90","7040.00"
"13/01/2024 19:00 - 13/01/2024 20:00","Portugal (PT)","7939.20","7684.00"
