"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2024 00:00 - 01/01/2024 01:00","Portugal (PT)","5426.40","5019.00"
"01/01/2024 01:00 - 01/01/2024 02:00","Portugal (PT)","5135.20","5026.00"
"01/01/2024 02:00 - 01/01/2024 03:00","Portugal (PT)","4962.50","4664.00"
"01/01/2024 03:00 - 01/01/2024 04:00","Portugal (PT)","4684.20","4405.00"
"01/01/2024 04:00 - 01/01/2024 05:00","Portugal (PT)","4413.70","4212.00"
"01/01/2024 05:00 - 01/01/2024 06:00","Portugal (PT)","4247.70","4080.00"
"01/01/2024 06:00 - 01/01/2024 07:00","Portugal (PT)","4171.60","4075.00"
"01/01/2024 07:00 - 01/01/2024 08:00","Portugal (PT)","4159.80","4140.00"
"01/01/2024 08:00 - 01/01/2024 09:00","Portugal (PT)","4131.00","4321.00"
"01/01/2024 09:00 - 01/01/2024 10:00","Portugal (PT)","4160.60","4384.00"
"01/01/2024 10:00 - 01/01/2024 11:00","Portugal (PT)","4402.00","4773.00"
"01/01/2024 11:00 - 01/01/2024 12:00","Portugal (PT)","4723.40","4984.00"
"01/01/2024 12:00 - 01/01/2024 13:00","Portugal (PT)","5096.40","5285.00"
"01/01/2024 13:00 - 01/01/2024 14:00","Portugal (PT)","5330.10","5322.00"
"01/01/2024 14:00 - 01/01/2024 15:00","Portugal (PT)","5158.90","5126.00"
"01/01/2024 15:00 - 01/01/2024 16:00","Portugal (PT)","4995.10","5065.00"
"01/01/2024 16:00 - 01/01/2024 17:00","Portugal (PT)","5072.70","5077.00"
"01/01/2024 17:00 - 01/01/2024 18:00","Portugal (PT)","5320.30","5276.00"
"01/01/2024 18:00 - 01/01/2024 19:00","Portugal (PT)","5897.40","5887.00"
"01/01/2024 19:00 - 01/01/2024 20:00","Portugal (PT)","6438.20","6532.00"
"01/01/2024 20:00 - 01/01/2024 21:00","Portugal (PT)","6664.70","6738.00"
"01/01/2024 21:00 - 01/01/2024 22:00","Portugal (PT)","6665.10","6685.00"
"01/01/2024 22:00 - 01/01/2024 23:00","Portugal (PT)","6385.20","6420.00"
"01/01/2024 23:00 - 02/01/2024 00:00","Portugal (PT)","5976.10","6007.00"
"02/01/2024 00:00 - 02/01/2024 01:00","Portugal (PT)","5392.40","5315.00"
"02/01/2024 01:00 - 02/01/2024 02:00","Portugal (PT)","4956.60","5310.00"
"02/01/2024 02:00 - 02/01/2024 03:00","Portugal (PT)","4575.90","4896.00"
"02/01/2024 03:00 - 02/01/2024 04:00","Portugal (PT)","4339.20","4588.00"
"02/01/2024 04:00 - 02/01/2024 05:00","Portugal (PT)","4212.50","4473.00"
"02/01/2024 05:00 - 02/01/2024 06:00","Portugal (PT)","4201.80","4420.00"
"02/01/2024 06:00 - 02/01/2024 07:00","Portugal (PT)","4291.60","4573.00"
"02/01/2024 07:00 - 02/01/2024 08:00","Portugal (PT)","4688.70","4940.00"
"02/01/2024 08:00 - 02/01/2024 09:00","Portugal (PT)","5173.50","5512.00"
"02/01/2024 09:00 - 02/01/2024 10:00","Portugal (PT)","5892.30","6088.00"
"02/01/2024 10:00 - 02/01/2024 11:00","Portugal (PT)","6495.70","6655.00"
"02/01/2024 11:00 - 02/01/2024 12:00","Portugal (PT)","6811.90","6879.00"
"02/01/2024 12:00 - 02/01/2024 13:00","Portugal (PT)","7145.50","7225.00"
"02/01/2024 13:00 - 02/01/2024 14:00","Portugal (PT)","7330.10","7288.00"
"02/01/2024 14:00 - 02/01/2024 15:00","Portugal (PT)","7434.90","7242.00"
"02/01/2024 15:00 - 02/01/2024 16:00","Portugal (PT)","7509.50","7349.00"
"02/01/2024 16:00 - 02/01/2024 17:00","Portugal (PT)","7524.40","7341.00"
"02/01/2024 17:00 - 02/01/2024 18:00","Portugal (PT)","7565.00","7434.00"
"02/01/2024 18:00 - 02/01/2024 19:00","Portugal (PT)","7874.90","7698.00"
"02/01/2024 19:00 - 02/01/2024 20:00","Portugal (PT)","8170.00","8045.00"
"02/01/2024 20:00 - 02/01/2024 21:00","Portugal (PT)","8368.70","8146.00"
"02/01/2024 21:00 - 02/01/2024 22:00","Portugal (PT)","8222.50","7912.00"
"02/01/2024 22:00 - 02/01/2024 23:00","Portugal (PT)","7760.50","7395.00"
"02/01/2024 23:00 - 03/01/2024 00:00","Portugal (PT)","7094.10","6854.00"
"03/01/2024 00:00 - 03/01/2024 01:00","Portugal (PT)","6241.80","6185.00"
"03/01/2024 01:00 - 03/01/2024 02:00","Portugal (PT)","5597.20","5654.00"
"03/01/2024 02:00 - 03/01/2024 03:00","Portugal (PT)","5160.00","5236.00"
"03/01/2024 03:00 - 03/01/2024 04:00","Portugal (PT)","4913.60","4944.00"
"03/01/2024 04:00 - 03/01/2024 05:00","Portugal (PT)","4787.10","4818.00"
"03/01/2024 05:00 - 03/01/2024 06:00","Portugal (PT)","4712.50","4756.00"
"03/01/2024 06:00 - 03/01/2024 07:00","Portugal (PT)","4817.00","4836.00"
"03/01/2024 07:00 - 03/01/2024 08:00","Portugal (PT)","5271.90","5251.00"
"03/01/2024 08:00 - 03/01/2024 09:00","Portugal (PT)","6083.50","5889.00"
"03/01/2024 09:00 - 03/01/2024 10:00","Portugal (PT)","7044.20","6549.00"
"03/01/2024 10:00 - 03/01/2024 11:00","Portugal (PT)","7560.10","7118.00"
"03/01/2024 11:00 - 03/01/2024 12:00","Portugal (PT)","7766.10","7261.00"
"03/01/2024 12:00 - 03/01/2024 13:00","Portugal (PT)","7973.00","7381.00"
"03/01/2024 13:00 - 03/01/2024 14:00","Portugal (PT)","7898.50","7295.00"
"03/01/2024 14:00 - 03/01/2024 15:00","Portugal (PT)","7799.50","7191.00"
"03/01/2024 15:00 - 03/01/2024 16:00","Portugal (PT)","7862.90","7323.00"
"03/01/2024 16:00 - 03/01/2024 17:00","Portugal (PT)","7730.60","7324.00"
"03/01/2024 17:00 - 03/01/2024 18:00","Portugal (PT)","7826.50","7436.00"
"03/01/2024 18:00 - 03/01/2024 19:00","Portugal (PT)","8001.90","7685.00"
"03/01/2024 19:00 - 03/01/2024 20:00","Portugal (PT)","8316.50","8049.00"
"03/01/2024 20:00 - 03/01/2024 21:00","Portugal (PT)","8468.50","8181.00"
"03/01/2024 21:00 - 03/01/2024 22:00","Portugal (PT)","8343.90","7966.00"
"03/01/2024 22:00 - 03/01/2024 23:00","Portugal (PT)","7878.70","7458.00"
"03/01/2024 23:00 - 04/01/2024 00:00","Portugal (PT)","7247.80","6930.00"
"04/01/2024 00:00 - 04/01/2024 01:00","Portugal (PT)","6469.60","6511.00"
"04/01/2024 01:00 - 04/01/2024 02:00","Portugal (PT)","5805.10","5728.00"
"04/01/2024 02:00 - 04/01/2024 03:00","Portugal (PT)","5358.10","5284.00"
"04/01/2024 03:00 - 04/01/2024 04:00","Portugal (PT)","5104.60","5005.00"
"04/01/2024 04:00 - 04/01/2024 05:00","Portugal (PT)","4950.00","4897.00"
"04/01/2024 05:00 - 04/01/2024 06:00","Portugal (PT)","4904.40","4825.00"
"04/01/2024 06:00 - 04/01/2024 07:00","Portugal (PT)","5065.30","4919.00"
"04/01/2024 07:00 - 04/01/2024 08:00","Portugal (PT)","5487.30","5316.00"
"04/01/2024 08:00 - 04/01/2024 09:00","Portugal (PT)","6328.50","6005.00"
"04/01/2024 09:00 - 04/01/2024 10:00","Portugal (PT)","7247.50","6883.00"
"04/01/2024 10:00 - 04/01/2024 11:00","Portugal (PT)","7695.30","7469.00"
"04/01/2024 11:00 - 04/01/2024 12:00","Portugal (PT)","7698.60","7588.00"
"04/01/2024 12:00 - 04/01/2024 13:00","Portugal (PT)","7744.10","7694.00"
"04/01/2024 13:00 - 04/01/2024 14:00","Portugal (PT)","7533.40","7479.00"
