,energy_mwh
2021-01-31,141941.98665346162
2021-02-28,274690.5562629692
2021-03-31,535714.4014016897
2021-04-30,839932.5228014593
2021-05-31,1124260.6646025346
2021-06-30,1113391.391609063
2021-07-31,1063651.0987903227
2021-08-31,976385.5386904762
2021-09-30,628091.6889880953
2021-10-31,339024.7514880952
2021-11-30,158863.18700396825
2021-12-31,105393.63343253967
