wind_mw,price,p_grid_mw,soc_h2_pct,m_h2_tank_kg,action
305.55555555555554,0.0,0.0,0.3141534391534391,5636.461704422869,H2
313.4920634920635,0.0,0.0,0.32231326874184013,5782.863307135151,H2
337.3015873015873,0.0,0.0,0.34679275750704314,6222.068115271997,H2
472.22222222222223,0.0,0.0,0.37878787878787873,6796.116504854369,H2
666.6666666666667,0.0,0.0,0.37878787878787873,6796.116504854369,H2
662.6984126984127,0.0,0.0,0.37878787878787873,6796.116504854369,H2
373.015873015873,0.0,0.0,0.37878787878787873,6796.116504854369,H2
591.2698412698413,0.0,0.0,0.37878787878787873,6796.116504854369,H2
662.6984126984127,0.0,0.0,0.37878787878787873,6796.116504854369,H2
662.6984126984127,0.0,0.0,0.37878787878787873,6796.116504854369,H2
662.6984126984127,0.0,0.0,0.37878787878787873,6796.116504854369,H2
511.9047619047619,0.0,0.0,0.37878787878787873,6796.116504854369,H2
35.714285714285715,0.0,0.0,0.03671923314780457,658.8072122052704,H2
31.746031746031747,0.1,0.0,0.03263931835360406,585.6064108491292,H2
87.3015873015873,0.1,0.0,0.0897581254724112,1610.4176298351058,H2
230.15873015873015,0.01,0.0,0.23663505806362947,4245.646478656187,H2
111.11111111111111,1.0,0.0,0.11423761423761426,2049.622437971953,H2
79.36507936507937,4.16,0.0,0.08159829588401016,1464.016027122823,H2
134.9206349206349,15.1,0.0,0.13871710300281728,2488.8272461087995,H2
218.25396825396825,19.51,0.0,0.22439531368102797,4026.0440745877636,H2
166.66666666666669,24.61,0.0,0.17135642135642137,3074.433656957929,H2
265.8730158730159,40.07,0.0,0.27335429121143406,4904.453690861458,H2+Grid
234.12698412698415,40.07,0.0,0.24071497285783,4318.847280012329,H2+Grid
103.17460317460318,16.0,0.0,0.10607778464921322,1903.2208352596701,H2
103.17460317460318,61.38,0.0,0.10607778464921322,1903.2208352596701,H2+Grid
158.73015873015873,42.17,0.0,0.16319659176802032,2928.032054245646,H2+Grid
83.33333333333334,42.0,0.0,0.08567821067821069,1537.2168284789645,H2+Grid
126.98412698412699,42.07,0.0,0.13055727341441625,2342.425643396517,H2+Grid
31.746031746031747,42.17,0.0,0.03263931835360406,585.6064108491292,H2+Grid
71.42857142857143,63.22,0.0,0.07343846629560914,1317.6144244105408,H2+Grid
55.55555555555556,85.0,0.0,0.05711880711880713,1024.8112189859764,H2+Grid
15.873015873015873,105.36,0.0,0.01631965917680203,292.8032054245646,H2+Grid
7.936507936507937,119.46,0.0,0.008159829588401016,146.4016027122823,H2+Grid
55.55555555555556,120.14,0.0,0.05711880711880713,1024.8112189859764,H2+Grid
43.65079365079365,121.21,0.0,0.0448790627362056,805.2088149175529,H2+Grid
71.42857142857143,125.0,0.0,0.07343846629560914,1317.6144244105408,H2+Grid
35.714285714285715,126.75,0.0,0.03671923314780457,658.8072122052704,H2+Grid
11.904761904761905,126.75,0.0,0.012239744382601527,219.6024040684235,H2+Grid
0.0,128.0,0.0,0.0,0.0,H2+Grid
0.0,128.0,0.0,0.0,0.0,H2+Grid
0.0,129.0,0.0,0.0,0.0,H2+Grid
0.0,140.0,0.0,0.0,0.0,H2+Grid
0.0,174.74,0.0,0.0,0.0,Grid
0.0,165.76,0.0,0.0,0.0,Grid
0.0,153.0,0.0,0.0,0.0,Grid
0.0,141.67,0.0,0.0,0.0,H2+Grid
0.0,134.91,0.0,0.0,0.0,H2+Grid
3.9682539682539684,124.22,0.0,0.004079914794200508,73.20080135614116,H2+Grid
